Код;Коротка назва;Колір;Іконка;Детальний опис
011;Апарат Верховної Ради;;;Апарат Верховної Ради України 
030;Державне управління справами;;;Державне управління справами 
041;ГФД Секретаріату КМУ;;;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України 
050;ДСА;;;Державна судова адміністрація України 
060;Верховний Суд;;;Верховний Суд України 
065;ВСС України з розгляду цивільних і кримінальних справ;;;Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ 
070;ВГС;;;Вищий господарський суд України 
075;ВАС;;;Вищий адміністративний суд України 
080;КС;;;Конституційний Суд України 
090;Генпрокуратура;;;Генеральна прокуратура України 
100;МВС;;;Міністерство внутрішніх справ України 
110;Міненергетики;;;Міністерство енергетики та вугільної промисловості України 
120;Мінекономіки;;;Міністерство економічного розвитку і торгівлі України 
121;Мінекономіки(загальнодержавні витрати) ;;;Міністерство економічного розвитку і торгівлі України (загальнодержавні витрати) 
140;МЗС;;;Міністерство закордонних справ України 
170;Держкомтелерадіо;;;Державний комітет телебачення і радіомовлення України 
180;Мінкультури;;;Міністерство культури України 
181;Мінкультури (заг.витрати);;;Міністерство культури України (загальнодержавні витрати) 
190;ДАЛС;;;Державне агентство лісових ресурсів України 
210;МО;;;Міністерство оборони України 
220;МОН;;;Міністерство освіти і науки України
221;МОНМС(заг.витрати);;;Міністерство освіти і науки, молоді та спорту України (загальнодержавні витрати) 
230;МОЗ;;;Міністерство охорони здоров'я України 
231;МОЗ (заг.витрати);;;Міністерство охорони здоров'я України (загальнодержавні витрати) 
240;МЕПР;;;Міністерство екології та природних ресурсів України 
250;Мінсоцполітики;;;Міністерство соціальної політики України 
251;МСП (заг.витрати);;;Міністерство соціальної політики України (загальнодержавні витрати) 
260;ДАУУДКПМ ;;;Державне агентство України з управління державними корпоративними правами та майном 
275;Мінрегіон;;;Міністерство регіонального розвитку, будівництва та житлово-комунального господарства України 
276;Мінрегіон (заг.витрати);;;Міністерство регіонального розвитку, будівництва та житлово-комунального господарства України (загальнодержавні витрати) 
280;МАПП;;;Міністерство аграрної політики та продовольства України 
300;Позицію виключено;;;Позицію виключено
310;Мінінфраструктури;;;Міністерство інфраструктури України 
311;Державтодор;;;Державне агентство автомобільних доріг України
313;Державтодор (заг.витрати);;;Державне агентство автомобільних доріг України (загальнодержавні витрати)
320;МНС;;;Міністерство надзвичайних ситуацій України 
321;МНС (заг.витрати) ;;;Міністерство надзвичайних ситуацій України (загальнодержавні витрати) 
330;Міндоходів і зборів;;;Міністерство доходів і зборів України
340;ММС;;;Міністерство молоді та спорту України 
341;ММС (заг.витрати);;;Міністерство молоді та спорту України (загальнодержавні витрати) 
350;Мінфін;;;Міністерство фінансів України 
351;Мінфін (заг.витрати) ;;;Міністерство фінансів України (загальнодержавні витрати) 
360;МЮ;;;Міністерство юстиції України 
370;ДС України з НС;;;Державна служба України з надзвичайних ситуацій
503;Позицію виключено;;;Позицію виключено
512;Позицію виключено;;;Позицію виключено
527;ДІЯР;;;Державна інспекція ядерного регулювання України 
534;АДПС;;;Адміністрація Державної прикордонної служби України 
549;Позицію виключено;;;Позицію виключено
550;НК у сфері ринків фінансових послуг;;;Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг
553;Позицію виключено;;;Позицію виключено
555;ДСУ з контролю за наркотиками;;;Державна служба України з контролю за наркотиками
556;НК у сфері зв'язку та інформатизації;;;Національна комісія, що здійснює державне регулювання у сфері зв'язку та інформатизації
596;ГУР МОУ;;;Головне управління розвідки Міністерства оборони України 
598;ВРЮ;;;Вища рада юстиції 
599;СУ ВРУ з прав людини;;;Секретаріат Уповноваженого Верховної Ради України з прав людини 
601;АКУ;;;Антимонопольний комітет України 
607;Позицію виключено;;;Позицію виключено
611;Позицію виключено;;;Позицію виключено
612;НАУ з питань державної служби;;;Національне агентство України з питань державної служби
615;НК з цінних паперів та фондового ринку;;;Національна комісія з цінних паперів та фондового ринку
617;Позицію виключено;;;Позицію виключено
630;ДАІУНПУ;;;Державне агентство з інвестицій та управління національними проектами України
635;ДАЕІУ;;;Державне агентство екологічних інвестицій України
636;Позицію виключено;;;Позицію виключено
637;НК у сфері енергетики;;;Національна комісія, що здійснює державне регулювання у сфері енергетики
638;ДКА;;;Державне космічне агентство України 
