Код;Коротка назва;Колір;Іконка;Детальний опис
10000;Державне управління;;;Державне управління
10105;Апарат ВР АРК;;;Апарат Верховної Ради Автономної Республіки Крим
10106;Забезпечення діяльності депутатів АРК;;;Забезпечення діяльності депутатів Автономної Республіки Крим
10108;Рахункова палата ВР АРК;;;Апарат Рахункової палати Верховної Ради Автономної Республіки Крим
10114;Рада міністрів АРК;;;Апарат Ради міністрів Автономної Республіки Крим та її місцевих органів
10116;Органи місцевого самоврядування;;;Органи місцевого самоврядування
10117;Виконавча влада в м. Києві;;;Органи виконавчої влади в м. Києві
60000;Правоохоронна діяльність;;;Правоохоронна діяльність та забезпечення безпеки держави
60103;Підрозділи дорожньо-патрульної служби;;;Підрозділи дорожньо-патрульної служби та дорожнього нагляду
60106;Приймальники-розподільники неповнолітніх;;;Приймальники-розподільники для неповнолітніх
60107;Спеціальні приймальники-розподільники;;;Спеціальні приймальники-розподільники
60702;Місцева пожежна охорона;;;Місцева пожежна охорона
61002;Монтажно-експлуатаційні підрозділи;;;Спеціальні монтажно-експлуатаційні підрозділи
61003;Адресно-довідкові бюро;;;Адресно-довідкові бюро
61007;Інші правоохоронні заходи і заклади;;;Інші правоохоронні заходи і заклади
70000;Освіта;;;Освіта
70101;Дошкільні заклади освіти;;;Дошкільні заклади освіти
70201;Загальноосвітні заклади;;;Загальноосвітні школи (в т. ч. школа-дитячий садок, інтернат при школі), спеціалізовані школи, ліцеї, гімназії, колегіуми
70202;Вечірні школи;;;Вечірні (змінні) школи
70301;Загальноосвітні школи-інтернати;;;Загальноосвітні школи-інтернати, загальноосвітні санаторні школи-інтернати
70302;Школи-інтернати для дітей-сиріт;;;Загальноосвітні школи-інтернати для дітей-сиріт та дітей, які залишилися без піклування батьків
70303;Дитячі будинки;;;Дитячі будинки (в т. ч. сімейного типу, прийомні сім'ї)
70304;Спеціальні загальноосвітні школи-інтернати;;;Спеціальні загальноосвітні школи-інтернати, школи та інші заклади освіти для дітей з вадами у фізичному чи розумовому розвитку
70307;Школи-інтернати з поглибленим вивченням;;;Загальноосвітні спеціалізовані школи-інтернати з поглибленим вивченням окремих предметів і курсів для поглибленої підготовки дітей в галузі науки і мистецтв, фізичної культури і спорту, інших галузях, ліцеї з посиленою військово-фізичною підготовкою
70401;Позашкільні заклади освіти;;;Позашкільні заклади освіти, заходи із позашкільної роботи з дітьми
70501;Професійно-технічні заклади;;;Професійно-технічні заклади освіти
70502;Професійно-технічні училища соціальної реабілітації;;;Професійно-технічні училища соціальної реабілітації
70601;Заклади I та II рівнів акредитації;;;Вищі заклади освіти I та II рівнів акредитації
70602;Заклади III та IV рівнів акредитації;;;Вищі заклади освіти III та IV рівнів акредитації
70701;Заклади післядипломної освіти;;;Заклади післядипломної освіти III - IV рівнів акредитації (академії, інститути, центри підвищення кваліфікації, перепідготовки, вдосконалення)
70702;Інші заклади післядипломної освіти;;;Інші заклади і заходи післядипломної освіти
70801;Придбання підручників;;;Придбання підручників
70802;Методична робота;;;Методична робота, інші заходи у сфері народної освіти
70803;Служби технічного нагляду за будівництвом;;;Служби технічного нагляду за будівництвом і капітальним ремонтом
70804;Обласні централізовані бухгалтерії;;;Централізовані бухгалтерії обласних, міських, районних відділів освіти
70805;Централізоване господарське обслуговування;;;Групи централізованого господарського обслуговування
70806;Інші заклади освіти;;;Інші заклади освіти
70807;Інші освітні програми;;;Інші освітні програми
70808;Допомога дітям-сиротам;;;Допомога дітям-сиротам та дітям, позбавленим батьківського піклування, яким виповнюється 18 років
70809;Реструктуризація заборгованості з виплат;;;"Здійснення виплат, визначених Законом України ""Про реструктуризацію заборгованості з виплат, передбачених статтею 57 Закону України ""Про освіту"" педагогічним, науково-педагогічним та іншим категоріям працівників навчальних закладів"""
80000;Охорона здоров'я;;;Охорона здоров'я
80101;Лікарні;;;Лікарні
80102;Територіальні медичні об'єднання;;;Територіальні медичні об'єднання
80201;Спеціалізовані лікарні;;;Спеціалізовані лікарні та інші спеціалізовані заклади (центри, диспансери, госпіталі для інвалідів ВВВ, лепрозорії, медико-санітарні частини тощо, що мають ліжкову мережу)
80202;Клініки науково-дослідних інститутів;;;Клініки науково-дослідних інститутів
80203;Пологові будинки;;;Пологові будинки
80204;Санаторії для хворих туберкульозом;;;Санаторії для хворих туберкульозом
80205;Санаторії для дітей та підлітків;;;Санаторії для дітей та підлітків (нетуберкульозні)
80206;Санаторії медичної реабілітації;;;Санаторії медичної реабілітації
80207;Будинки дитини;;;Будинки дитини
80208;Станції переливання крові;;;Станції переливання крові
80209;Станції швидкої медичної допомоги;;;Станції швидкої та невідкладної медичної допомоги
80300;Поліклініки і амбулаторії;;;Поліклініки і амбулаторії (крім спеціалізованих поліклінік та загальних і спеціалізованих стоматологічних поліклінік)
80400;Спеціалізовані поліклініки (в т. ч. диспансери);;;Спеціалізовані поліклініки (в т. ч. диспансери, медико-санітарні частини, пересувні консультативні діагностичні центри тощо, які не мають ліжкового фонду)
80500;Стоматологічні поліклініки;;;Загальні і спеціалізовані стоматологічні поліклініки
80600;Фельдшерсько-акушерські пункти;;;Фельдшерсько-акушерські пункти
80703;Заходи боротьби з епідеміями;;;Заходи боротьби з епідеміями
80704;Центри здоров'я;;;Центри здоров'я і заходи у сфері санітарної освіти
81001;Медико-соціальні експертні комісії;;;Медико-соціальні експертні комісії
81002;Інші заходи по охороні здоров'я;;;Інші заходи по охороні здоров'я
81003;Служби технагляду за будівництвом та капремонтом;;;Служби технічного нагляду за будівництвом та капітальним ремонтом
81004;Централізовані бухгалтерії;;;Централізовані бухгалтерії
81005;Централізоване господарське обслуговування;;;Групи централізованого господарського обслуговування
81006;Програми з імунопрофілактики;;;Програми і централізовані заходи з імунопрофілактики
81007;Програми боротьби з туберкульозом;;;Програми і централізовані заходи боротьби з туберкульозом
81008;Програми профілактики СНІДу;;;Програми і централізовані заходи профілактики СНІДу
81009;Заходи з лікування хворих на діабет;;;Забезпечення централізованих заходів з лікування хворих на цукровий та нецукровий діабет
81010;Заходи з лікування онкологічних хворих;;;Централізовані заходи з лікування онкологічних хворих
90000;Соціальний захист;;;Соціальний захист та соціальне забезпечення
90201;Пільги ветеранам війни;;;"Пільги ветеранам війни, особам, на яких поширюється чинність Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", особам, які мають особливі заслуги перед Батьківщиною, вдовам (вдівцям) та батькам померлих (загиблих) осіб, які мають особливі заслуги перед Батьківщиною, дітям війни, особам, які мають особливі трудові заслуги перед Батьківщиною, вдовам (вдівцям) та батькам померлих (загиблих) осіб, які мають особливі трудові заслуги перед Батьківщиною, жертвам нацистських переслідувань та реабілітованим громадянам, які стали інвалідами внаслідок репресій або є пенсіонерами, на житлово-комунальні послуги"
90202;Пільги ветеранам війни;;;"Пільги ветеранам війни, особам, на яких поширюється чинність Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", особам, які мають особливі заслуги перед Батьківщиною, вдовам (вдівцям) та батькам померлих (загиблих) осіб, які мають особливі заслуги перед Батьківщиною, особам, які мають особливі трудові заслуги перед Батьківщиною, вдовам (вдівцям) та батькам померлих (загиблих) осіб, які мають особливі трудові заслуги перед Батьківщиною, жертвам нацистських переслідувань на придбання твердого палива та скрапленого газу"
90203;Інші пільги ветеранам війни;;;"Інші пільги ветеранам війни, особам, на яких поширюється чинність Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", особам, які мають особливі заслуги перед Батьківщиною, вдовам (вдівцям) та батькам померлих (загиблих) осіб, які мають особливі заслуги перед Батьківщиною, ветеранам праці, особам, які мають особливі трудові заслуги перед Батьківщиною, вдовам (вдівцям) та батькам померлих (загиблих) осіб, які мають особливі трудові заслуги перед Батьківщиною, жертвам нацистських переслідувань та реабілітованим громадянам, які стали інвалідами внаслідок репресій або є пенсіонерами"
90204;Пільги ветеранам військової служби;;;Пільги ветеранам військової служби, ветеранам органів внутрішніх справ, ветеранам податкової міліції, ветеранам державної пожежної охорони, ветеранам Державної кримінально-виконавчої служби, ветеранам служби цивільного захисту, ветеранам Державної служби спеціального зв'язку та захисту інформації України, вдовам (вдівцям) померлих (загиблих) ветеранів військової служби, ветеранів органів внутрішніх справ, ветеранів податкової міліції, ветеранів державної пожежної охорони, ветеранів Державної кримінально-виконавчої служби, ветеранів служби цивільного захисту та ветеранів Державної служби спеціального зв'язку та захисту інформації України, звільненим зі служби за віком, хворобою або вислугою років військовослужбовцям Служби безпеки України, працівникам міліції, особам начальницького складу податкової міліції, рядового і начальницького складу кримінально-виконавчої системи, державної пожежної охорони, пенсіонерам з числа слідчих прокуратури, дітям (до досягнення повноліття) працівників міліції, осіб начальницького складу податкової міліції, рядового і начальницького складу кримінально-виконавчої системи, державної пожежної охорони, загиблих або померлих у зв'язку з виконанням службових обов'язків, непрацездатним членам сімей, які перебували на їх утриманні, звільненим з військової служби особам, які стали інвалідами під час проходження військової служби, батькам та членам сімей військовослужбовців, які загинули (померли) або пропали безвісти під час проходження військової служби, батькам та членам сімей осіб рядового і начальницького складу органів і підрозділів цивільного захисту, Державної служби спеціального зв'язку та захисту інформації України, які загинули (померли), пропали безвісті або стали інвалідами при проходженні служби, суддям у відставці, на житлово-комунальні послуги
90205;Пільги ветеранам військової служби;;;Пільги ветеранам військової служби, ветеранам органів внутрішніх справ, ветеранам податкової міліції, ветеранам державної пожежної охорони, ветеранам Державної кримінально-виконавчої служби, ветеранам служби цивільного захисту, ветеранам Державної служби спеціального зв'язку та захисту інформації України, вдовам (вдівцям) померлих (загиблих) ветеранів військової служби, ветеранів органів внутрішніх справ, ветеранів податкової міліції, ветеранів державної пожежної охорони, ветеранів Державної кримінально-виконавчої служби, ветеранів служби цивільного захисту та ветеранів Державної служби спеціального зв'язку та захисту інформації України, звільненим зі служби за віком, хворобою або вислугою років працівникам міліції, особам начальницького складу податкової міліції, рядового і начальницького складу кримінально-виконавчої системи, державної пожежної охорони, дітям (до досягнення повноліття) працівників міліції, осіб начальницького складу податкової міліції, рядового і начальницького складу кримінально-виконавчої системи, державної пожежної охорони, загиблих або померлих у зв'язку з виконанням службових обов'язків, непрацездатним членам сімей, які перебували на їх утриманні, на придбання твердого палива
90206;Інші пільги ветеранам військової служби;;;Інші пільги ветеранам військової служби, ветеранам органів внутрішніх справ, ветеранам податкової міліції, ветеранам державної пожежної охорони, ветеранам Державної кримінально-виконавчої служби, ветеранам служби цивільного захисту, ветеранам Державної служби спеціального зв'язку та захисту інформації України, вдовам (вдівцям) померлих (загиблих) ветеранів військової служби, ветеранів органів внутрішніх справ, ветеранів податкової міліції, ветеранів державної пожежної охорони, ветеранів Державної кримінально-виконавчої служби, ветеранів служби цивільного захисту та ветеранів Державної служби спеціального зв'язку та захисту інформації України, особам, звільненим з військової служби, які стали інвалідами під час проходження військової служби, пенсіонерам з числа слідчих прокуратури
90207;Пільги громадянам;;;Пільги громадянам, які постраждали внаслідок Чорнобильської катастрофи, дружинам (чоловікам) та опікунам (на час опікунства) дітей померлих громадян, смерть яких пов'язана з Чорнобильською катастрофою, на житлово-комунальні послуги
90208;Пільги громадянам;;;Пільги громадянам, які постраждали внаслідок Чорнобильської катастрофи, дружинам (чоловікам) та опікунам (на час опікунства) дітей померлих громадян, смерть яких пов'язана з Чорнобильською катастрофою, на придбання твердого палива
90209;Інші пільги громадянам;;;Інші пільги громадянам, які постраждали внаслідок Чорнобильської катастрофи, дружинам (чоловікам) та опікунам (на час опікунства) дітей померлих громадян, смерть яких пов'язана з Чорнобильською катастрофою
90210;Пільги пенсіонерам (спеціалісти із захисту рослин);;;"Пільги пенсіонерам з числа спеціалістів із захисту рослин, передбачені частиною четвертою статті 20 Закону України ""Про захист рослин"", громадянам, передбачені пунктом ""ї"" частини першої статті 77 Основ законодавства про охорону здоров'я, частиною четвертою статті 29 Основ законодавства про культуру, частиною другою статті 30 Закону України ""Про бібліотеки та бібліотечну справу"", абзацом першим частини четвертої статті 57 Закону України ""Про освіту"", на безоплатне користування житлом, опаленням та освітленням"
90211;Пільги пенсіонерам (спеціалісти із захисту рослин);;;"Пільги пенсіонерам з числа спеціалістів із захисту рослин, передбачені частиною четвертою статті 20 Закону України ""Про захист рослин"", громадянам, передбачені пунктом ""ї"" частини першої статті 77 Основ законодавства про охорону здоров'я, частиною четвертою статті 29 Основ законодавства про культуру, частиною другою статті 30 Закону України ""Про бібліотеки та бібліотечну справу"", абзацом першим частини четвертої статті 57 Закону України ""Про освіту"", на придбання твердого та рідкого пічного побутового палива"
90212;Пільги на медичне обслуговування;;;Пільги на медичне обслуговування громадянам, які постраждали внаслідок Чорнобильської катастрофи
90213;Оздоровлення громадян;;;Оздоровлення громадян, які постраждали внаслідок Чорнобильської катастрофи
90214;Пільги на послуги зв'язку;;;Пільги окремим категоріям громадян з послуг зв'язку
90215;Пільги багатодітним сім'ям на комунальні послуги;;;Пільги багатодітним сім'ям на житлово-комунальні послуги
