Code;Short name;Color;Icon;Details
10000;Public Administration;;;Public Administration
10105;Apparatus of AR Crimea's Parliament;;;Apparatus of AR Crimea's Parliament
10106;Supporting Unit for MPs of AR Crimea;;;Supporting Unit for MPs of AR Crimea
10108;Apparatus of AR Crimea Parliament's Accounting Chamber;;;Apparatus of AR Crimea Parliament's Accounting Chamber
10114;Apparatus of AR Crimea Council of Ministers;;;Apparatus of AR Crimea Council of Ministers
10116;Local Government Bodies;;;Local Government Bodies
10117;Executive Bodies in Kiev;;;Executive Bodies in Kiev
60000;Law Enforcement & State Security;;;Law Enforcement & State Security
60103;Subdivision of Road Patrol & Supervision;;;Subdivision of Road Patrol & Supervision
60106;Juvenile Detention Center;;;Juvenile Detention Center
60107;Special Reception Centers;;;Special Reception Centers
60702;Local Fire Department;;;Local Fire Department
61002;Construction, Installation & Maintenance Units;;;Construction, Installation & Maintenance Units
61003;Address Reference Bureaus;;;Address Reference Bureaus
61007;Other Law Enforcement Activities & Facilities;;;Other Law Enforcement Activities & Facilities
70000;Education;;;Education
70101;Pre-Primary Education;;;Pre-Primary Education
70201;Secondary Institutions (including School Kindergartens, Boarding Schools, Specialized Schools, Lyceums, Gymnasiums, Colleges);;;Secondary Institutions (including School Kindergartens, Boarding Schools, Specialized Schools, Lyceums, Gymnasiums, Colleges)
70202;Evening School;;;Evening School
70301;Boarding School;;;Boarding School
70302;Boarding Schools for Orphans;;;Boarding Schools for Orphans
70303;Children's Homes (including Family-Type & Foster Families);;;Children's Homes (including Family-Type & Foster Families)
70304;Special Boarding Schools for Children with Physical or Mental Development Issues;;;Special Boarding Schools for Children with Physical or Mental Development Issues
70307;Boarding Schools with Intensive Study;;;Boarding Schools with Intensive Study
70401;Extracurricular Educational Institutions;;;Extracurricular Educational Institutions
70501;Vocational Technical Institutions;;;Vocational Technical Institutions
70502;Vocational Technical School for Social Rehabilitation;;;Vocational Technical School for Social Rehabilitation
70601;Higher Educational Institutions I & II Levels of Accreditation;;;Higher Educational Institutions I & II Levels of Accreditation
70602;Higher Educational Institutions III & IV Levels of Accreditation;;;Higher Educational Institutions III & IV Levels of Accreditation
70701;Institutions of Postgraduate Education (including Training & Retraining Centers);;;Institutions of Postgraduate Education (including Training & Retraining Centers)
70702;Other Establishments for Postgraduate Education;;;Other Establishments for Postgraduate Education
70801;Books Purchases;;;Books Purchases
70802;Methodical Work;;;Methodical Work
70803;Technical Supervision of Construction & Refurbishment Service;;;Technical Supervision of Construction & Refurbishment Service
70804;Centralized Accounting of Regional (Oblast, City & Region) Education Departments;;;Centralized Accounting of Regional (Oblast, City & Region) Education Departments
70805;Groups of Centralized Commercial Service;;;Groups of Centralized Commercial Service
70806;Other Educational Institutions;;;Other Educational Institutions
70807;Other Educational Programs;;;Other Educational Programs
70808;Aid for Orphanages;;;Aid for Orphanages
70809;"Payments (according to the Article 57 of the Law ""On Education"")";;;"Payments (according to the Article 57 of the Law ""On Education"")"
80000;Health Care;;;Health Care
80101;Hospitals;;;Hospitals
