Код;Коротка назва;Колір;Іконка;Детальний опис
2000;Поточні видатки;;;Поточні видатки
2100;Оплата праці і нарахування;;;Оплата праці і нарахування на заробітну плату
2110;Оплата праці;;;Оплата праці
2111;Заробітна плата;;;Заробітна плата
2112;Забезпечення військовослужбовців;;;Грошове забезпечення військовослужбовців
2120;Нарахування на оплату праці;;;Нарахування на оплату праці
2200;Використання товарів і послуг;;;Використання товарів і послуг
2210;Предмети;;;Предмети; матеріали; обладнання та інвентар
2220;Медикаменти та перев'язувальні матеріали;;;Медикаменти та перев'язувальні матеріали
2230;Продукти харчування;;;Продукти харчування
2240;Оплата послуг (крім комунальних);;;Оплата послуг (крім комунальних)
2250;Видатки на відрядження;;;Видатки на відрядження
2260;Видатки та заходи спеціального призначення;;;Видатки та заходи спеціального призначення
2270;Оплата комунальних послуг та енергоносіїв;;;Оплата комунальних послуг та енергоносіїв
2271;Оплата теплопостачання;;;Оплата теплопостачання
2272;Оплата водопостачання та водовідведення;;;Оплата водопостачання та водовідведення
2273;Оплата електроенергії;;;Оплата електроенергії
2274;Оплата природного газу;;;Оплата природного газу
2275;Оплата інших енергоносіїв;;;Оплата інших енергоносіїв
2280;Дослідження і розробки;;;Дослідження і розробки; окремі заходи по реалізації державних (регіональних) програм
2281;Дослідження і розробки;;;Дослідження і розробки; окремі заходи розвитку по реалізації державних (регіональних) програм
2282;Заходи по реалізації державних програм;;;Окремі заходи по реалізації державних (регіональних) програм; не віднесені до заходів розвитку
2400;Обслуговування боргових зобов'язань;;;Обслуговування боргових зобов'язань
2410;Обслуговування внутрішніх боргових зобов'язань;;;Обслуговування внутрішніх боргових зобов'язань
2420;Обслуговування зовнішніх боргових зобов'язань;;;Обслуговування зовнішніх боргових зобов'язань
2600;Поточні трансферти;;;Поточні трансферти
2610;Субсидії підприємствам;;;Субсидії та поточні трансферти підприємствам (установам; організаціям)
2620;Трансферти органам державного управління;;;Поточні трансферти органам державного управління інших рівнів
2630;Трансферти урядам іноземних держав;;;Поточні трансферти урядам іноземних держав та міжнародним організаціям
2700;Соціальне забезпечення;;;Соціальне забезпечення
2710;Виплата пенсій і допомоги;;;Виплата пенсій і допомоги
2720;Стипендії;;;Стипендії
2730;Інші виплати населенню;;;Інші виплати населенню
2800;Інші поточні видатки;;;Інші поточні видатки
2900;Позицію виключено;;;Позицію виключено
3000;Капітальні видатки;;;Капітальні видатки
3100;Придбання основного капіталу;;;Придбання основного капіталу
3110;Придбання обладнання довгострокового користування;;;Придбання обладнання і предметів довгострокового користування
3120;Капітальне будівництво (придбання);;;Капітальне будівництво (придбання)
3121;Капітальне будівництво (придбання) житла;;;Капітальне будівництво (придбання) житла
3122;Капітальне будівництво (придбання) інших об'єктів;;;Капітальне будівництво (придбання) інших об'єктів
3130;Капітальний ремонт;;;Капітальний ремонт
3131;Капітальний ремонт житлового фонду (приміщень);;;Капітальний ремонт житлового фонду (приміщень)
3132;Капітальний ремонт інших об'єктів;;;Капітальний ремонт інших об'єктів
3140;Реконструкція та реставрація;;;Реконструкція та реставрація
3141;Реконструкція житлового фонду;;;Реконструкція житлового фонду (приміщень)
3142;Реконструкція та реставрація інших об'єктів;;;Реконструкція та реставрація інших об'єктів
3143;Реставрація пам'яток культури;;;Реставрація пам'яток культури; історії та архітектури
3150;Створення державних запасів;;;Створення державних запасів і резервів
3160;Придбання землі та нематеріальних активів;;;Придбання землі та нематеріальних активів
3200;Капітальні трансферти;;;Капітальні трансферти
3210;Капітальні трансферти підприємствам;;;Капітальні трансферти підприємствам (установам; організаціям)
3220;Капітальні трансферти державним органам;;;Капітальні трансферти органам державного управління інших рівнів
3230;Капітальні трансферти урядам іноземних держав;;;Капітальні трансферти урядам іноземних держав та міжнародним організаціям
3240;Капітальні трансферти населенню;;;Капітальні трансферти населенню
9000;Нерозподілені видатки;;;Нерозподілені видатки
