Код;Коротка назва
28545;Виконавчий комітет Вінницької міської ради
78511;Лівобережна адміністрація Вінницької міської ради
78568;Департамент самоврядного контролю Вінницької міської ради
78570;Правобережна адміністрація Вінницької міської ради
23946;Департамент освіти Вінницької міської ради
28181;Комітет по фізичній культурі і спорту Вінницької міської ради
28794;Департамент охорони здоров'я Вінницької міської ради
86230;Департамент соціальної політики Вінницької міської ради
28703;Департамент культури Вінницької міської ради
28733;Департамент житлового господарства Вінницької міської ради
35025;Департамент міського господарства Вінницької міської ради
28667;Департамент комунального господарства та благоустрою Вінницької міської ради
78602;Департамент комунальних ресурсів Вінницької міської ради
28622;Департамент капітального будівництва Вінницької міської ради
78596;Департамент архітектури, містобудування та кадастру Вінницької міської ради
28349;Департамент енергетики, транспорту та зв'язку Вінницької міської ради
78501;Департамент фінансів Вінницької міської ради
30945;'Комунальний заклад 'Міська клінічна стоматологічна поліклініка'
27246;'Комунальний заклад 'Центр підліткових клубів за місцем проживання'
38121;Вінницький міський центр соціальних служб для сім'ї, дітей та молоді
7195;Вище художнї професійно-технічне училище № 5 м. Вінниці
7258;Вище професійне училище №11 м. Вінниці
7531;'Державний професійно-технічний навчальний заклад 'Вінницьке міжрегіональне вище професійне училище'
7705;'Державний навчальний заклад 'Вінницький центр професійно-технічної освіти технологій та дизайну'
7853;'Державний професійно-технічний навчальний заклад 'Вінницьке вище професійне училище сфери послуг'
7898;'Державний навчальний заклад 'Вище професiйне училище №7 м. Вiнницi'
7933;'Державний навчальний заклад 'Центр професійно-технічної освіти №1 м. Вінниці'
8587;'Державний навчальний заклад 'Вінницький центр професійно-технічної освіти переробної промисловості'
23108;Дошкільний навчальний заклад № 25
23579;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №12 Вінницької міської ради'
24552;'Заклад 'Фізико-математична гімназія №17 Вінницької міської ради'
25447;Дошкільний навчальний заклад №30
25461;'Дошкільний навчальний заклад № 3 'Перлинка'
26986;Дошкільний навчальний заклад № 31
27283;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №33 Вінницької міської ради'
27714;'Заклад 'Навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів - гуманітарно-естетичний колегіум №29 Вінницької міської ради'
27873;Дошкільний навчальний заклад № 59
29056;'Заклад 'Вінницький міський центр художньо-хореографічної освіти дітей та юнацтва 'Барвінок'
29212;Міський методичний кабінет
29432;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №4 ім. Д.і. Менделїїва Вінницької міської ради'
29492;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 21 Вінницької міської ради'
30111;Дошкільний навчальний заклад №37
31148;Дошкільний навчальний заклад №72
31164;Дошкільний навчальний заклад № 27
31344;Дошкільний навчальний заклад № 16
31389;Дошкільний навчальний заклад № 23
32083;'Комунальний заклад 'Спеціалізована загальноосвітня школа і ступеня з поглибленим вивченням іноземних мов №25 Вінницької міської ради'
32249;Централізована бухгалтерія №3 департаменту освіти Вінницької міської ради
35160;'Заклад 'Навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів - гімназія №30 ім. Тараса Шевченка Вінницької міської ради'
35506;'Дошкільний навчальний заклад № 1 'Слов'яночка'
35528;'Заклад 'Вінницький міський палац дітей та юнацтва імені Лялі Ратушної'
35550;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №22 Вінницької міської ради'
35564;Дошкільний навчальний заклад № 26
35573;'Заклад 'Загальноовітня школа І-ІІІ ступенів №16 Вінницької міської ради'
35631;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №10 Вінницької міської ради'
