Код;Коротка назва;Колір;Іконка;Детальний опис
01;;;;Апарат місцевої ради (Управління справами Верховної Ради Автономної Республіки Крим, обласні, Київська та Севастопольська міські ради, районні ради і ради міст обласного та республіканського Автономної Республіки Крим, районного значення, селищні, сільські ради, районні ради у містах) 
02;;;;Управління справами (управління (відділ) обласної (Київської, Севастопольської міської) державної адміністрації, районної державної адміністрації, виконавчого органу місцевої ради)
03;;;;Державна адміністрація (Управління справами Ради міністрів Автономної Республіки Крим, обласні державні адміністрації (господарські управління, відділи), Київська, Севастопольська міські державні адміністрації, районні державні адміністрації (управління, відділи), виконавчі органи місцевих рад) 
04;;;;Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації)
05;;;;Рахункова палата Верховної Ради Автономної Республіки Крим 
06;;;;Виборча комісія Автономної Республіки Крим 
07;;;;Постійне представництво Автономної Республіки Крим в столиці України - місті Києві
08;;;;Орган з питань внутрішньої політики та зв’язків з громадянами
09;;;;Органз питань зовнішньоекономічної та міжнародної  діяльності
10;;;;Орган з питань освіти і науки, молоді та спорту
11;;;;Орган у справах сім'ї, молоді та спорту
13;;;;Орган з питань фізичної культури та спорту
14;;;;Орган з питань охорони здоров'я
15;;;;Орган з питань праці та соціального захисту населення
16;;;;Орган з питань надання субсидій
17;;;;Орган з питань праці та зайнятості
18;;;;Орган з питань охорони  праці
19;;;;Орган у справах сім'ї, жінок,  інвалідів, ветеранів війни та праці 
20;;;;Орган у справах дітей
21;;;;Орган у справах національностей, депортованих громадян та міграції
22;;;;Орган з питань ведення державного реєстру виборців
23;;;;Орган з питань правової допомоги
24;;;;Орган з питань культури
25;;;;Орган з питань курортів і туризму
26;;;;Орган з питань охорони культурної спадщини
27;;;;Орган з питань релігій
29;;;;Архівна установа
30;;;;Орган з питань інформації та преси
31;;;;Орган з питань реклами
32;;;;Орган з питань регуляторної політики і підприємництва
33;;;;Орган з питань реєстрації та державного реєстру
35;;;;Орган з питань споживчого ринку, торгівлі,   побутового обслуговування, ринків, громадського харчування
36;;;;Орган з питань захисту прав споживачів
37;;;;Орган з питань цінової політики
40;;;;Орган з питань житлово-комунального господарства
41;;;;Орган з питань комунального господарства
42;;;;Орган з питань ритуальних послуг
43;;;;Орган з питань житлового забезпечення
44;;;;Орган у справах приватизації
45;;;;Орган з питань комунальної власності
47;;;;Орган з питань будівництва
48;;;;Орган з питань містобудування  та архітектури
49;;;;Орган з питань державного технічного нагляду
50;;;;Орган з питань благоустрою
51;;;;Орган з питань промисловості, розвитку інфраструктури та науково-технічної,  інноваційної політики
52;;;;Орган з питань інвестицій
53;;;;Орган з питань агропромислового комплексу, сільського господарства та продовольства
54;;;;Орган з питань закупівель та якості сільськогосподарської продукції
56;;;;Орган з питань земельних ресурсів та кадастру
59;;;;Орган з питань лісового та мисливського господарства
60;;;;Орган з питань екології, охорони навколишнього середовища та природних ресурсів 
62;;;;Орган з питань водного господарства
63;;;;Орган з питань морської акваторії
65;;;;Орган з питань транспорту, зв'язку та інформатизації
66;;;;Орган з питань інформатизації та аналітичного забезпечення
67;;;;Орган з питань надзвичайних ситуацій
68;;;;Орган з питань оборонно-мобілізаційної роботи та цивільного захисту населення
70;;;;Орган з питань пожежної охорони
71;;;;Орган з питань палива і енергетики
73;;;;Орган з питань економіки
75;;;;Фінансовий Орган
76;;;;Фінансовий Орган (в частині міжбюджетних трансфертів, резервного фонду)
77;;;;Орган з питань внутрішнього фінансового контролю
79;;;;Орган з питань підготовки та проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу
