Код;Коротка назва;Колір;Іконка;Детальний опис
01;Апарат місцевої ради;;;Апарат (секретаріат) місцевої ради (Верховної Ради Автономної Республіки Крим, обласних, Київської та Севастопольської міських рад, районних рад і рад міст обласного та республіканського Автономної Республіки Крим, районного значення, селищних, сільських рад, районних рад у містах)
02;Виконавчі органи;;;Виконавчі органи місцевих рад, Рада міністрів Автономної Республіки Крим, державна адміністрація (обласні державні адміністрації, Київська, Севастопольська міські державні адміністрації, районні державні адміністрації (управління, відділи)
03;Рахункова палата;;;Рахункова палата Верховної Ради Автономної Республіки Крим 
04;Виборча комісія АР Крим;;;Виборча комісія Автономної Республіки Крим 
05;Постійне представництво АР Крим в Києві;;;Постійне представництво Автономної Республіки Крим в столиці України - місті Києві
06;Орган з питань освіти і науки;;;Орган1 з питань освіти і науки
07;Орган з питань охорони здоров'я ;;;Орган1 з питань охорони здоров'я
08;Орган з питань праці та соціального захисту населення;;;Орган1 з питань праці та соціального захисту населення
09;Орган у справах дітей ;;;Орган1 у справах дітей
10;Орган з питань культури, національностей та релігій;;;Орган1 з питань культури, національностей та релігій
11;Орган з питань молоді та спорту;;;Орган1 з питань молоді та спорту
12;Орган з питань житлово-комунального господарства;;;Орган1 з питань житлово-комунального господарства
13;Орган з питань палива і енергетики ;;;Орган1 з питань палива і енергетики
14;Орган з питань благоустрою населених пунктів;;;Орган1 з питань благоустрою населених пунктів
15;Орган з питань будівництва;;;Орган1 з питань будівництва
16;Орган з питань містобудування  та архітектури  ;;;Орган1 з питань містобудування  та архітектури
17;Орган з питань державного архітектурно-будівельного контролю;;;Орган1 з питань державного архітектурно-будівельного контролю
18;Орган з питань охорони культурної спадщини;;;Орган1 з питань охорони культурної спадщини
19;Орган з питань інфраструктури, розвитку та утримання мережі автомобільних доріг загального користування місцевого значення ;;;Орган1 з питань інфраструктури, розвитку та утримання мережі автомобільних доріг загального користування місцевого значення
20;Орган з питань інформатизації, аналітичного забезпечення та електронного урядування;;;Орган1 з питань інформатизації, аналітичного забезпечення та електронного урядування
21;Орган з питань пожежної охорони;;;Орган1 з питань пожежної охорони
22;Орган з питань охорони громадського порядку;;;Орган1 з питань охорони громадського порядку
23;Орган з питань інформаційної діяльності, засобів масової інформації та комунікацій з громадськістю;;;Орган1 з питань інформаційної діяльності, засобів масової інформації та комунікацій з громадськістю
24;Орган з питань агропромислового комплексу, сільського господарства та продовольства;;;Орган1 з питань агропромислового комплексу, сільського господарства та продовольства
25;Орган з питань зовнішньоекономічної та міжнародної  діяльності ;;;Орган1 з питань зовнішньоекономічної та міжнародної  діяльності
26;Орган з питань туризму та курортів ;;;Орган1 з питань туризму та курортів
27;Орган з питань економічного розвитку, торгівлі та інвестицій;;;Орган1 з питань економічного розвитку, торгівлі та інвестицій
28;Орган з питань екології, охорони навколишнього середовища та природних ресурсів ;;;Орган1 з питань екології, охорони навколишнього середовища та природних ресурсів 
29;Орган з питань захисту населення і територій від надзвичайних ситуацій техногенного та природного характеру;;;Орган1 з питань захисту населення і територій від надзвичайних ситуацій техногенного та природного характеру
30;Орган з питань мобілізаційної підготовки та цивільного захисту населення;;;Орган1 з питань мобілізаційної підготовки та цивільного захисту населення
31;Орган з питань управління комунальним майном;;;Орган1 з питань управління комунальним майном
32;Орган з питань реклами та масових заходів;;;Орган1 з питань реклами та масових заходів
33;Орган з питань реєстрації та державного реєстру;;;Орган1 з питань реєстрації та державного реєстру
34;Орган з питань надання адміністративних послуг;;;Орган1 з питань надання адміністративних послуг
35;Орган з питань промисловості, розвитку інфраструктури та науково-технічної,  інноваційної політики ;;;Орган1 з питань промисловості, розвитку інфраструктури та науково-технічної,  інноваційної політики
36;Орган з питань земельних відносин ;;;Орган1 з питань земельних відносин
37;Орган з питань фінансів ;;;Орган1 з питань фінансів
38;Орган з питань внутрішнього фінансового контролю;;;Орган1 з питань внутрішнього фінансового контролю
40;Орган у справах приватизації;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
41;Орган з питань комунальної власності;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
42;Орган з питань будівництва;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
43;Орган з питань містобудування та архітектури;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
44;Орган з питань державного технічного нагляду;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
45;Орган з питань благоустрою;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
46;Орган з питань промисловості, розвитку інфраструктури, та науково-технічної, інноваційної політики;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
47;Орган з питань інвестицій;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
48;Орган з питань агропромислового комплексу, сільського господарства та продовольства;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
49;Орган з питань закупівель та якості сільськогосподарської продукції;;;Районні державні адміністрації у містах з районним поділом за відсутності районних у містах рад
