Код;Коротка назва;Колір;Іконка;Детальний опис
0100;;;fa-suitcase;Загальнодержавні функції 
0110;;;fa-suitcase;Вищі органи державного управління, органи місцевої влади та місцевого самоврядування, фінансова та зовнішньополітична діяльність 
0111;;;fa-suitcase;Вищі органи державного управління, органи місцевої влади та місцевого самоврядування 
0112;;;fa-suitcase;Фінансова та фіскальна діяльність 
0113;;;fa-suitcase;Зовнішньополітична діяльність 
0120;;;fa-suitcase;Економічна допомога зарубіжним країнам 
0130;;;fa-suitcase;Інші загальні функції державного управління 
0131;;;fa-suitcase;Управління системою державної служби 
0132;;;fa-suitcase;Загальнодержавне планування та статистика 
0133;;;fa-suitcase;Інша діяльність у сфері державного управління 
0140;;;fa-suitcase;Позицію виключено 
0150;;;fa-suitcase;Фундаментальні та прикладні дослідження і розробки у сфері державного управління
0160;;;fa-suitcase;Проведення виборів та референдумів 
0170;;;fa-suitcase;Обслуговування боргу 
0171;;;fa-suitcase;Позицію виключено
0172;;;fa-suitcase;Позицію виключено
0180;;;fa-suitcase;Міжбюджетні трансферти 
0200;;;fa-space-shuttle;Оборона 
0210;;;fa-space-shuttle;Військова оборона 
0220;;;fa-space-shuttle;Цивільна оборона 
0230;;;fa-space-shuttle;Військова допомога зарубіжним країнам 
0240;;;fa-space-shuttle;Військова освіта 
0250;;;fa-space-shuttle;Фундаментальні та прикладні дослідження і розробки у сфері оборони
0260;;;fa-space-shuttle;Інша діяльність у сфері оборони 
0300;;;fa-legal;Громадський порядок, безпека та судова влада 
0310;;;fa-legal;Діяльність із забезпечення громадського порядку, боротьба із злочинністю та охорона державного кордону 
0320;;;fa-legal;Протипожежний захист та рятування 
0330;;;fa-legal;Судова влада 
0340;;;fa-legal;Кримінально-виконавча система та виправні заходи 
0350;;;fa-legal;Діяльність у сфері безпеки держави 
0360;;;fa-legal;Нагляд за додержанням законів та представницькі функції в суді 
0370;;;fa-legal;Фундаментальні та прикладні дослідження і розробки у сфері громадського порядку, безпеки та судової влади
0380;;;fa-legal;Інша діяльність у сфері громадського порядку, безпеки та судової влади 
0400;;;fa-bar-chart-o;Економічна діяльність 
0410;;;fa-bar-chart-o;Загальна економічна, торговельна та трудова діяльність 
0411;;;fa-bar-chart-o;Загальна економічна та торговельна діяльність 
0412;;;fa-bar-chart-o;Регулювання трудових відносин 
0420;;;fa-database;Сільське господарство, лісове господарство та мисливство, рибне господарство 
0421;;;fa-database;Сільське господарство 
0422;;;fa-database;Лісове господарство та мисливство 
0423;;;fa-database;Рибне господарство 
0430;;;fa-database;Паливно-енергетичний комплекс 
0431;;;fa-database;Вугільна галузь та інші галузі з видобутку твердого палива 
0432;;;fa-database;Нафтогазова галузь 
0433;;;fa-database;Електроенергетична галузь 
0434;;;fa-database;Інші галузі паливно-енергетичного комплексу 
0440;;;fa-building;Інша промисловість та будівництво 
0441;;;fa-building;Промисловість з видобутку рудних та нерудних корисних копалин 
0442;;;fa-building;Обробна промисловість 
0443;;;fa-building;Будівництво 
0444;;;fa-building;Відтворення мінерально-сировинної бази 
0450;;;fa-automobile;Транспорт 
0451;;;fa-automobile;Автомобільний транспорт 
0452;;;fa-automobile;Водний транспорт 
0453;;;fa-automobile;Залізничний транспорт 
0454;;;fa-automobile;Повітряний транспорт 
0455;;;fa-automobile;Трубопровідний та інший транспорт 
0456;;;fa-automobile;Дорожнє господарство 
0460;;;fa-signal;Зв'язок, телекомунікації та інформатика 
0470;;;fa-database;Інші галузі економіки 
0471;;;fa-database;Позицію виключено
0472;;;fa-database;Позицію виключено
0473;;;fa-database;Позицію виключено
0480;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки в галузях економіки
0481;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки у сфері економічної, торговельної та трудової діяльності
0482;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки у сфері сільського господарства, лісового господарства та мисливства, рибного господарства
0483;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки у сфері паливно-енергетичного комплексу
0484;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки в інших галузях промисловості та будівництві
0485;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки у сфері транспорту
0486;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки у сфері зв'язку, телекомунікації та інформатики
0487;;;fa-line-chart;Фундаментальні та прикладні дослідження і розробки в інших галузях економіки
0490;;;fa-line-chart;Інша економічна діяльність 
0500;;;fa-tree;Охорона навколишнього природного середовища 
0510;;;fa-tree;Запобігання та ліквідація забруднення навколишнього природного середовища 
0511;;;fa-tree;Охорона та раціональне використання природних ресурсів 
0512;;;fa-tree;Утилізація відходів 
0513;;;fa-tree;Ліквідація іншого забруднення навколишнього природного середовища 
0520;;;fa-tree;Збереження природно-заповідного фонду 
0530;;;fa-tree;Фундаментальні та прикладні дослідження і розробки у сфері охорони навколишнього природного середовища
0540;;;fa-tree;Інша діяльність у сфері охорони навколишнього природного середовища 
0600;;;fa-truck;Житлово-комунальне господарство 
0610;;;fa-truck;Житлове господарство 
0620;;;fa-truck;Комунальне господарство 
0630;;;fa-truck;Фундаментальні та прикладні дослідження і розробки у сфері житлово-комунального господарства
0640;;;fa-truck;Інша діяльність у сфері житлово-комунального господарства 
0700;;;fa-plus-square;Охорона здоров'я 
0710;;;fa-plus-square;Медична продукція та обладнання 
0720;;;fa-plus-square;Поліклініки і амбулаторії, швидка та невідкладна допомога 
0721;;;fa-plus-square;Поліклініки загального профілю та амбулаторії 
0722;;;fa-plus-square;Спеціалізовані та стоматологічні поліклініки
0723;;;fa-plus-square;Позицію виключено
0724;;;fa-plus-square;Центри екстреної медичної допомоги та медицини катастроф, станції екстреної (швидкої) медичної допомоги
0725;;;fa-plus-square;Фельдшерсько-акушерські пункти 
0726;;;fa-plus-square;Центри первинної медичної (медико-санітарної) допомоги
0730;;;fa-plus-square;Лікарні та санаторно-курортні заклади 
0731;;;fa-plus-square;Лікарні загального профілю 
0732;;;fa-plus-square;Спеціалізовані лікарні та інші спеціалізовані заклади 
0733;;;fa-plus-square;Перинатальні центри, пологові будинки
0734;;;fa-plus-square;Санаторно-курортні заклади 
0740;;;fa-plus-square;Санітарно-профілактичні та протиепідемічні заходи і заклади 
0750;;;fa-plus-square;Фундаментальні та прикладні дослідження і розробки у сфері охорони здоров'я
0760;;;fa-plus-square;Інша діяльність у сфері охорони здоров'я 
0761;;;fa-plus-square;Будинки дитини 
0762;;;fa-plus-square;Станції переливання крові 
0763;;;fa-plus-square;Інші заклади та заходи у сфері охорони здоров'я 
0800;;;fa-child;Духовний та фізичний розвиток 
0810;;;fa-child;Фізична культура і спорт 
0820;;;fa-child;Культура та мистецтво 
0821;;;fa-child;Театри 
0822;;;fa-child;Художні колективи, концертні і циркові організації 
0823;;;fa-child;Кінематографія 
0824;;fa-child;Бібліотеки, музеї і виставки
0824;;;fa-child;Позицію виключено
0825;;;fa-child;Позицію виключено
0826;;;fa-child;Позицію виключено
0827;;;fa-child;Заповідники 
0828;;;fa-child;Клубні заклади 
0829;;;fa-child;Інші заходи і заклади в галузі культури та мистецтва, творчі спілки
0830;;;fa-child;Засоби масової інформації 
0831;;;fa-child;Позицію виключено
0832;;;fa-child;Позицію виключено
0833;;;fa-child;Позицію виключено
0834;;;fa-child;Позицію виключено
0840;;fa-child;;Фундаментальні та прикладні дослідження і розробки у сфері духовного та фізичного розвитку
0850;;;fa-child;Інша діяльність у сфері духовного та фізичного розвитку та інформації
0900;;;fa-mortar-board;Освіта 
0910;;;fa-mortar-board;Дошкільна освіта 
0920;;;fa-mortar-board;Загальна середня освіта 
0921;;;fa-mortar-board;Загальноосвітні навчальні заклади 
0922;;;fa-mortar-board;Загальноосвітні спеціалізовані та спеціальні школи-інтернати
0923;;;fa-mortar-board;Позицію виключено
0930;;;fa-mortar-board;Професійно-технічна освіта 
0940;;;fa-mortar-board;Вища освіта 
0941;;;fa-mortar-board;Вищі навчальні заклади I і II рівнів акредитації 
0942;;;fa-mortar-board;Вищі навчальні заклади III і IV рівнів акредитації 
0950;;;fa-mortar-board;Післядипломна освіта 
0960;;;fa-mortar-board;Позашкільна освіта та заходи із позашкільної роботи з дітьми 
0970;;;fa-mortar-board;Програми матеріального забезпечення навчальних закладів 
0980;;;fa-mortar-board;Фундаментальні та прикладні дослідження і розробки у сфері освіти
0990;;;fa-mortar-board;Інші заклади та заходи у сфері освіти 
1000;;;fa-users;Соціальний захист та соціальне забезпечення 
1010;;;fa-users;Соціальний захист на випадок непрацездатності 
1020;;;fa-users;Соціальний захист пенсіонерів 
1030;;;fa-users;Соціальний захист ветеранів війни та праці 
1040;;;fa-users;Соціальний захист сім'ї, дітей та молоді 
1050;;;fa-users;Соціальний захист безробітних 
1060;;;fa-users;Допомога у вирішенні житлового питання 
1061;;;fa-users;Позицію виключено
1062;;;fa-users;Позицію виключено
1070;;;fa-users;Соціальний захист інших категорій населення 
1080;;;fa-users;Фундаментальні та прикладні дослідження і розробки у сфері соціального захисту
1090;;;fa-users;Інша діяльність у сфері соціального захисту 
