name;unit;group;group_icon;group_color;integer_or_float
% безробіття;%;Економіка;fa-database;#FFBF00;float
% витрат з бюджету розвитку на особу;%;Муніципалітет;fa-institution;#9A2EFE;float
% пенсіонерів;%;Демографія;fa-group;#0000FF;float
Викиди шкідливих речовин;т/км2;Екологія;fa-tree;#0B610B;float
Виплати по кредитам міста на 1 жителя;;Муніципалітет;fa-institution;#9A2EFE;float
Витрати з бюджету на 1 особу;;Муніципалітет;fa-institution;#9A2EFE;float
ВРП;у фактичних цінах, млн.грн.;Економіка;fa-database;#FFBF00;float
ВРП на душу населення;у фактичних цінах, млн.грн.;Економіка;fa-database;#FFBF00;float
Дитяча смертність;чол.;Медицина;fa-medkit;#FAAC58;integer
Доля переробки ТБВ;%;Екологія;fa-tree;#0B610B;float
Забезпеченість житлом;м2/особу;Будівництво;fa-building;#848484;float
Забезпеченість населення легковими автомобілями;шт./1000 чол.;Транспорт;fa-automobile;#CECEF6;float
Завантаженість садочків;учнів/заклад;Освіта;fa-graduation-cap;#F781BE;float
Завантаженість шкіл;учнів/заклад;Освіта;fa-graduation-cap;#F781BE;float
Загальна кількість студентів;тис.чол.;Освіта;fa-graduation-cap;#F781BE;integer
Загальноосвітні навчальні заклади;шт.;Освіта;fa-graduation-cap;#F781BE;integer
Індекс споживчих цін;%;Економіка;fa-database;#FFBF00;float
Індекс якості доріг;;Транспорт;fa-automobile;#CECEF6;float
Кількість виявлених злочинів;тис.;Безпека;fa-life-buoy;#FF0000;integer
Кількість відвідувань музеїв на мешканця;на 100 чол.;Культура;fa-book;#00FFFF;integer
Кількість відвідувань театрів на мешканця;на 100 чол.;Культура;fa-book;#00FFFF;integer
Кількість дітей в дошкільних закладах;тис.чол.;Освіта;fa-graduation-cap;#F781BE;float
Кількість дітей в загальноосвітніх навчальних закладах;тис.чол.;Освіта;fa-graduation-cap;#F781BE;float
Кількість дошкільних закладів;шт.;Освіта;fa-graduation-cap;#F781BE;integer
Кількість житла введеного в експлуатацію;тис.м2;Будівництво;fa-building;#848484;integer
Кількість злочинів на 100 000 осіб;шт.;Безпека;fa-life-buoy;#FF0000;float
Кількість населення;тис.чол.;Економіка;fa-database;#FFBF00;float
Кількість пенсіонерів;чол.;Демографія;fa-group;#0000FF;integer
Кількість розлучень;;Демографія;fa-group;#0000FF;integer
Кількість спортивних споруд (стадіонів);;Будівництво;fa-building;#848484;integer
Кількість станцій метро;;Транспорт;fa-automobile;#CECEF6;integer
Кількість студентів на 100 000 осіб;тис.чол.;Освіта;fa-graduation-cap;#F781BE;float
Кількість студентів I–II рівнів акредитації;тис.чол.;Транспорт;fa-automobile;#CECEF6;float
Кількість студентівIII–IV рівнів акредитації;тис.чол.;Освіта;fa-graduation-cap;#F781BE;float
Кількість туристів;чол.;Культура;fa-book;#00FFFF;integer
Кількість тяжких злочинів на 100 000 осіб;шт.;Безпека;fa-life-buoy;#FF0000;float
Кількість ФОП;млн.грн.;Економіка;fa-database;#FFBF00;float
Кількість ФОП на 1000 населення;млн.грн./тис.чол.;Економіка;fa-database;#FFBF00;float
Кількість чиновників;чол.;Муніципалітет;fa-institution;#9A2EFE;integer
Кількість шлюбів;;Демографія;fa-group;#0000FF;float
Охоплення дітей дошкільними навчальними закладами;% до кількості дітей відповідного віку;Освіта;fa-graduation-cap;#F781BE;float
Первинна захворюваність;випадки, одиниць;Медицина;fa-medkit;#FAAC58;float
Первинна захворюваність (випадків на тис.осіб);випадки, одиниць;Медицина;fa-medkit;#FAAC58;float
Питома вага утилізованих відходів у загальній кількості утворених;%;Екологія;fa-tree;#0B610B;float
Приріст населення;;Демографія;fa-group;#0000FF;float
Розкриваємість злочинів;;Безпека;fa-life-buoy;#FF0000;float
Середня заробітна плата;грн.;Економіка;fa-database;#FFBF00;float
Успішність учнів;середній бал за ЗНО;Освіта;fa-graduation-cap;#F781BE;float
Утворення відходів за регіонами;тис. т;Екологія;fa-tree;#0B610B;float
Утворення відходів у розрахунку на квадратний кілометр;т;Екологія;fa-tree;#0B610B;float
Утилізація відходів;тис. т;Екологія;fa-tree;#0B610B;float
