key;indicator;unit;icon
001;площа;км2;square
002;кількість міжнародних аеропортів;;plane
003;загальна кількість населення;чол.;male
004;чисельність агломерації;;group
005;кількість станцій метро;;subway
006;протяжність метро;км;minus
007;середній час в дорозі до роботи;хв;clock-o
008;погодинна ставка оплати праці;долл. США;dollar
009;середній рівень заробітної плати в рік;долл. США;dollar
010;рівень безробіття;%;male
011;народжуваність;на 1000 чол.;child
012;середня тривалість життя;роки;plus-square
013;середня кількість вихідних та святкових тижнів в рік;;calendar
014;середня вартість житла за м.кв. в центрі міста;долл. США;dollar
015;середня вартість палива;долл. США;dollar
