key;indicator;unit;icon;color;type
001;площа;км2;fa-square;#666;to_f
002;кількість міжнародних аеропортів;;fa-plane;#666;to_i
003;загальна кількість населення;чол.;fa-male;#666;to_i
004;чисельність агломерації;;fa-group;#666;to_i
005;кількість станцій метро;;fa-subway;#666;to_i
006;протяжність метро;км;fa-minus;#666;to_f
007;середній час в дорозі до роботи;хв;fa-clock-o;#666;to_f
008;погодинна ставка оплати праці;долл. США;fa-dollar;#666;to_f
009;середній рівень заробітної плати в рік;долл. США;fa-dollar;#666;to_f
010;рівень безробіття;%;fa-male;#666;to_f
011;народжуваність;на 1000 чол.;fa-child;#666;to_f
012;середня тривалість життя;роки;fa-plus-square;#666;to_f
013;середня кількість вихідних та святкових тижнів в рік;;fa-calendar;#666;to_f
014;середня вартість житла за м.кв. в центрі міста;долл. США;fa-dollar;#666;to_f
015;середня вартість палива;долл. США;fa-dollar;#666;to_f
