koatuu;NU;bounds;center
100000000;АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ;[[46.195042108660154,32.4755859375],[44.38669150215206,36.650390625]];[45.3363475681642,34.380636268703014]
0500000000;ВІННИЦЬКА ОБЛАСТЬ/М.ВІННИЦЯ;[[49.89463439573421,27.3779296875],[48.06339653776211,30.036621093749996]];[48.932356708558565,28.6903547843548]
0700000000;ВОЛИНСЬКА ОБЛАСТЬ/М.ЛУЦЬК;[[51.984880139916626,23.62060546875],[50.30337575356313,26.103515625]];[51.20695240379534,24.884212247143928]
1200000000;ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ/М.ДНІПРОПЕТРОВСЬК;[[49.167338606291075,32.98095703125],[47.41322033016902,36.9140625]];[48.279903021306964,34.858478267997505]
1400000000;ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК;[[49.25346477497736,36.54052734375],[46.875213396722685,39.0673828125]];[48.056822492351586,37.670284211665624]
1800000000;ЖИТОМИРСЬКА ОБЛАСТЬ/М.ЖИТОМИР;[[51.69979984974196,27.2021484375],[49.596470070892686,29.7509765625]];[50.65014677764267,28.484585674069436]
2100000000;ЗАКАРПАТСЬКА ОБЛАСТЬ/М.УЖГОРОД;[[49.095452162534826,22.148437499999996],[47.90161354142077,24.609375]];[48.40700940373055,23.2808170586357]
2300000000;ЗАПОРІЗЬКА ОБЛАСТЬ/М.ЗАПОРІЖЖЯ;[[48.10743118848039,34.1455078125],[46.07323062540838,37.24365234375]];[47.25570386595272,35.69959127654439]
2600000000;ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ/М.ІВАНО-ФРАНКІВСЬК;[[49.55372551347579,23.53271484375],[47.724544549099676,25.64208984375]];[48.708601368778176,24.609197067002103]
3200000000;КИЇВСЬКА ОБЛАСТЬ/М.КИЇВ;[[51.536085601784755,29.28955078125],[49.196064000723794,32.18994140625]];[50.310647761751994,30.474997919836447]
3500000000;КІРОВОГРАДСЬКА ОБЛАСТЬ/М.КІРОВОГРАД;[[49.210420445650286,29.77294921875],[47.754097979680026,33.92578125]];[48.46348748132882,32.11063108205414]
4400000000;ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК;[[50.078294547389426,37.85888671875],[47.81315451752768,40.2099609375]];[48.994340769081525,39.02728827354287]
4600000000;ЛЬВІВСЬКА ОБЛАСТЬ/М.ЛЬВІВ;[[50.666872321810715,22.67578125],[48.719961222646276,25.400390625]];[49.72927562359677,23.923067306806857]
4800000000;МИКОЛАЇВСЬКА ОБЛАСТЬ/М.МИКОЛАЇВ;[[48.22467264956519,30.212402343749996],[46.58906908309182,33.20068359375]];[47.44618271758099,31.787460099142518]
5100000000;ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА;[[48.25394114463431,28.212890625],[45.19752230305685,31.3330078125]];[46.76396096539399,29.867388241500326]
5300000000;ПОЛТАВСЬКА ОБЛАСТЬ/М.ПОЛТАВА;[[50.52739681329302,32.10205078125],[48.705462895790575,35.52978515624999]];[49.718943717450856,33.80814694633636]
5600000000;РІВНЕНСЬКА ОБЛАСТЬ/М.РІВНЕ;[[51.957807388715544,25.0927734375],[50.00773901463687,27.7294921875]];[51.05156639476423,26.398749477405534]
5900000000;СУМСЬКА ОБЛАСТЬ/М.СУМИ;[[52.36218321674427,32.98095703125],[50.10648772767335,35.68359375]];[51.103718138310846,34.139405695299665]
6100000000;ТЕРНОПІЛЬСЬКА ОБЛАСТЬ/М.ТЕРНОПІЛЬ;[[50.2612538275847,24.697265625],[48.516604348867475,26.43310546875]];[49.406812716286304,25.63740065540098]
6300000000;ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ;[[50.45750402042058,34.892578125],[48.516604348867475,38.1005859375]];[49.618199607675834,36.514393026442114]
6500000000;ХЕРСОНСЬКА ОБЛАСТЬ/М.ХЕРСОН;[[47.57652571374621,31.5087890625],[45.920587344733654,35.09033203125]];[46.664736317399736,33.57167061560791]
6800000000;ХМЕЛЬНИЦЬКА ОБЛАСТЬ/М.ХМЕЛЬНИЦЬКИЙ;[[50.583236614805905,26.12548828125],[48.44377831058805,27.9052734375]];[49.51806240142037,26.92811237137]
7100000000;ЧЕРКАСЬКА ОБЛАСТЬ/М.ЧЕРКАСИ;[[50.20503326494332,29.619140624999996],[48.472921272487824,32.9150390625]];[49.25733815223074,31.380799253254644]
7300000000;ЧЕРНІВЕЦЬКА ОБЛАСТЬ/М.ЧЕРНІВЦІ;[[48.67645370777654,24.89501953125],[47.724544549099676,27.531738281249996]];[48.27111285173547,25.975441990574925]
7400000000;ЧЕРНІГІВСЬКА ОБЛАСТЬ/М.ЧЕРНІГІВ;[[52.3755991766591,30.47607421875],[50.331436330838834,33.50830078125]];[51.35495901741985,32.01564135517963]
