Код;Коротка назва;Колір;Іконка;Детальний опис
100;Державне управління
110;Організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Верховної Ради Автономної Республіки Крим
120;Організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Рахункової палати Верховної Ради Автономної Республіки Крим
130;Організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Ради міністрів Автономної Республіки Крим
140;Керівництво і управління у відповідній сфері в Автономній Республіці Крим
150;Організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності обласної ради, районної ради, районної у місті ради (у разі її створення), міської, селищної, сільської рад
160;Керівництво і управління у відповідній сфері у містах (місті Києві), селищах, селах, об’єднаних територіальних громадах
170;Підвищення кваліфікації депутатів місцевих рад та посадових осіб місцевого самоврядування
180;Інша діяльність у сфері державного управління
190;Проведення місцевих виборів та референдумів, забезпечення діяльності виборчої комісії Автономної Республіки Крим
191;Проведення місцевих виборів
192;Проведення місцевих референдумів
193;Забезпечення діяльності виборчої комісії Автономної Республіки Крим
1000;Освіта
1010;Надання дошкільної освіти
1020;Надання загальної середньої освіти загальноосвітніми навчальними закладами (в т. ч. школою-дитячим садком, інтернатом при школі), спеціалізованими школами, ліцеями, гімназіями, колегіумами
1030;Надання загальної середньої освіти вечiрнiми (змінними) школами
1040;Надання загальної середньої освіти загальноосвiтнiми школами-iнтернатами, загальноосвітніми санаторними школами-інтернатами
1050;Надання загальної середньої освіти загальноосвітніми школами-інтернатами для дітей-сиріт і дітей, позбавлених батьківського піклування
1060;Забезпечення належних умов для виховання та розвитку дітей-сиріт і дітей, позбавлених батьківського піклування, в дитячих будинках, у тому числі сімейного типу, прийомних сім’ях, сім’ях патронатного вихователя
1070;Надання загальної середньої освіти спеціальними  загальноосвітніми школами-інтернатами, школами та іншими навчальними закладами для дітей, які потребують корекції фізичного та (або) розумового розвитку
1080;Надання загальної середньої освіти загальноосвітніми спеціалізованими школами-інтернатами з поглибленим вивченням окремих предметів і курсів для поглибленої підготовки дітей в галузі науки і мистецтв, фізичної культури і спорту, інших галузях, ліцеями з посиленою військово-фізичною підготовкою
1090;Надання позашкільної освіти позашкільними закладами освіти, заходи із позашкільної роботи з дітьми
1100;Надання спеціальної освіти школами естетичного виховання (музичними, художніми, хореографічними, театральними, хоровими, мистецькими)
1110;Підготовка кадрів професійно-технічними закладами та іншими закладами освіти
1120;Підготовка кадрів вищими навчальними закладами І-ІІ рівнів акредитації (коледжами, технікумами, училищами)
1130;Підготовка кадрів вищими навчальними закладами ІІІ-ІV рівнів акредитації (університетами, академіями, інститутами)
