KTVK;KFK
10000;
10105;111
10106;111
10108;112
10114;111
10116;111
10117;111
240900;133
250000;
250102;133
250402;1070
250403;133
250404;133
250406;133
250203;160
250205;160
250207;160
180401;170
230000;170
250301;180
250302;180
250303;180
250304;180
250305;180
250307;180
250308;180
250309;180
250310;180
250313;180
250314;180
250315;180
250316;180
250318;180
250319;180
250321;180
250322;180
250323;180
250324;180
250326;180
250328;180
250329;180
250330;180
250331;180
250333;180
250334;180
250335;180
250336;180
250337;180
250339;180
250341;180
250342;180
250344;180
250346;180
250347;180
250348;180
250349;180
250352;180
250353;180
250355;180
250356;180
250357;180
250359;180
250360;180
250361;180
250362;180
250363;180
250366;180
250370;180
250371;180
250372;180
250373;180
250376;180
250380;180
250382;180
250383;180
250384;180
250388;180
250389;180
250390;180
210106;220
60000;  
60103;310
60106;310
60107;310
61003;310
60702;320
61007;380
210107;380
170102;1070
170203;1070
170302;1070
170602;1070
180000;  
180107;470
180403;133
180404;411
180405;411
180409;490
180410;411
170101;451
170303;453
170601;453
160903;421
160904;421
100205;432
61002;456
170000;  
170103;451
170202;452
170603;455
170703;456
170704;456
170800;460
170901;460
171000;460
100206;470
150122;470
180109;490
180411;490
180412;490
250500;490
250901;490
250902;490
250903;490
250904;490
250905;1060
250907;1060
250908;1060
250909;1060
250910;1060
250911;1060
250912;1060
250913;1060
250914;1060
250915;1090
200000;  
200100;511
200400;511
200600;520
210000;  
210110;320
210120;320
240000; 
240602;512
240603;513
240604;540
240606;540
100207;511
110203;827
200200;511
240601;511
160600;422
200300;511
240605;520
100301;620
200700;540
210105;320
100000;  
100101;610
100102;610
100103;610
100106;610
100302;620
100303;620
100400;620
100201;620
100202;620
100203;620
100208;620
100209;620
100601;640
100602;640
100105;640
70000;  
80000;  
80703;740
80800;726
81006;740
81007;763
81008;763
81009;763
81010;763
80101;731
80102;731
80201;732
80202;732
80203;733
80207;761
80208;762
80209;922
80300;721
80400;722
80600;725
80204;734
80205;734
80206;734
80704;740
81001;763
81002;763
81003;763
110000;  
110102;821
110103;822
110101;829
110104;829
110105;829
110202;824
110204;828
110205;960
110502;829
120000;  
120100;830
120201;830
120300;830
120400;830
110201;824
150202;443
150203;829
70101;910
70303;910
70201;921
70202;921
70301;922
70302;922
70304;922
70307;922
70501;930
70502;930
70601;941
70602;942
70701;950
70702;950
70801;970
70401;960
70802;990
70803;990
70804;990
70805;990
70806;990
70807;990
70808;990
70809;990
90000;  
90413;1010
90601;1010
91203;1010
91205;1010
91206;1010
91300;1010
90901;1020
90902;1020
91204;1020
90201;1030
90202;1030
90203;1030
90204;1030
90205;1030
90206;1030
90416;1030
90417;1030
91209;1030
91303;1010
91304;1010
90302;1040
90303;1040
90304;1041
90305;1041
90306;  
90307;1040
90308;1040
90401;1040
90700;1040
90802;1040
91101;1040
91102;1040
91103;1040
91104;1040
91105;1040
91106;1040
91107;1040
91108;1040
90501;1050
90405;1060
90406;1060
90407;1060
090411 ;1060
90414;1060
91207;1060
150000;  
150101;490
150104;1060
150107;1060
150109;1060
150110;921
150111;922
150112;960
150114;731
150115;432
150118;1060
150119;732
90207;1070
90208;1070
90209;1070
90210;1070
90211;1070
90212;1070
90213;1070
90214;1070
90215;1070
90216;1070
90217;1070
90403;1070
91201;1070
90217;1070
90412;1090
91210;1090
91211;1090
91212;1090
91214;1090
240800;1090
80500;722
110300;823
130000;  
130102;810
130104;810
130105;810
130106;810
130107;810
130110;810
130112;810
130113;810
130114;810
130115;810
130201;810
130202;810
130203;810
130204;810
130205;810
150120;453
150121;620
150201;829
160000;  
160101;421
250405;850
