Код;Коротка назва;Колір;Іконка;Детальний опис
11;Апарат ВРУ;;;Апарат Верховної Ради України 
30;ДУС;;;Державне управління справами 
41;ГФД Секретаріату КМУ;;;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України 
50;ДСАУ;;;Державна судова адміністрація України 
60;ВСУ;;;Верховний Суд України 
65;ВСС України з розгляду цивільних і кримінальних справ ;;;Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ 
70;ВГСУ;;;Вищий господарський суд України 
75;ВАСУ;;;Вищий адміністративний суд України 
80;КСУ;;;Конституційний Суд України 
90;ГПУ;;;Генеральна прокуратура України 
100;МВСУ;;;Міністерство внутрішніх справ України 
110;МЕВПУ;;;Міністерство енергетики та вугільної промисловості України 
120;МЕРТУ;;;Міністерство економічного розвитку і торгівлі України 
121;МЕРТУ(загальнодержавні витрати) ;;;Міністерство економічного розвитку і торгівлі України (загальнодержавні витрати) 
140;МЗСУ;;;Міністерство закордонних справ України 
170;ДКТРУ;;;Державний комітет телебачення і радіомовлення України 
180;МКУ;;;Міністерство культури України 
181;МКУ (загальнодержавні витрати);;;Міністерство культури України (загальнодержавні витрати) 
190;ДАЛСУ;;;Державне агентство лісових ресурсів України 
210;МОУ;;;Міністерство оборони України 
220;МОНУ;;;Міністерство освіти і науки України
221;МОНМСУ(загальнодержавні витрати);;;Міністерство освіти і науки, молоді та спорту України (загальнодержавні витрати) 
230;МОЗУ;;;Міністерство охорони здоров'я України 
231;МОЗУ (загальнодержавні витрати);;;Міністерство охорони здоров'я України (загальнодержавні витрати) 
240;МЕПРУ;;;Міністерство екології та природних ресурсів України 
250;МСПУ;;;Міністерство соціальної політики України 
251;МСПУ (загальнодержавні витрати);;;Міністерство соціальної політики України (загальнодержавні витрати) 
260;ДАУУДКПМ ;;;Державне агентство України з управління державними корпоративними правами та майном 
275;МРРБЖКГУ;;;Міністерство регіонального розвитку, будівництва та житлово-комунального господарства України 
276;МРРБЖКГУ(загальнодержавні витрати);;;Міністерство регіонального розвитку, будівництва та житлово-комунального господарства України (загальнодержавні витрати) 
280;МАППУ;;;Міністерство аграрної політики та продовольства України 
300;Позицію виключено;;;Позицію виключено
310;МІУ;;;Міністерство інфраструктури України 
311;ДААДУ;;;Державне агентство автомобільних доріг України
313;ДААДУ (загальнодержавні витрати);;;Державне агентство автомобільних доріг України (загальнодержавні витрати)
320;МНСУ;;;Міністерство надзвичайних ситуацій України 
321;МНСУ(загальнодержавні витрати) ;;;Міністерство надзвичайних ситуацій України (загальнодержавні витрати) 
330;МДЗУ;;;Міністерство доходів і зборів України
340;ММСУ;;;Міністерство молоді та спорту України 
341;ММСУ (загальнодержавні витрати) ;;;Міністерство молоді та спорту України (загальнодержавні витрати) 
350;МФУ;;;Міністерство фінансів України 
351;МФУ (загальнодержавні витрати) ;;;Міністерство фінансів України (загальнодержавні витрати) 
360;МЮУ;;;Міністерство юстиції України 
370;ДСУНС;;;Державна служба України з надзвичайних ситуацій
503;Позицію виключено;;;Позицію виключено
512;Позицію виключено;;;Позицію виключено
527;ДІЯРУ;;;Державна інспекція ядерного регулювання України 
534;АДПСУ;;;Адміністрація Державної прикордонної служби України 
549;Позицію виключено;;;Позицію виключено
550;НК у сфері ринків фінансових послуг;;;Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг
553;Позицію виключено;;;Позицію виключено
