code;codes_1_year;codes_2_year;abbreviation;formula
7020;1195|1695;CR;@c_1195/@c_1695
7030;1195|1695;NWC;@c_1195-@c_1695
7100;1495|1900;EQ/TA;@c_1495/@c_1900
8000;2350|2000;ROS;(@c_2350/@c_2000)*100


71203;2290|2300|2515; ;EBITDA;@c_2290+@c_2300+@c_2515

71103;1195|1695; ;CR;@c_1195/@c_1695
71110;1100|1495|1595|1095; ;NCT;@c_1100/(@c_1495+@c_1595-@c_1095)

72501;2350;1495|1495;ROE;@c_2350/((@c1_1495+@c2_1495)/2)*100
72301;1030|1035;1495|1595;ROI;(@c_1030+@c_1035)/(0.5*(@c1_1495+@c2_1495+@c1_1595+@c2_1595))

71204;2350|2290|2300|2515; ;EBITDA margin;(@c_2290+@c_2300+@c_2515)/@c_2350

