Code;Short name;Color;Icon;Details
10000000;Tax revenue;;;Tax revenue
11000000;Taxes on income, profits, and tax gains;;;Taxes on income, profits, and tax gains
11010000;Individual income tax;;;Individual income tax
11010100;Individual income tax paid by tax agents from income tax in the form of wages;;;Individual income tax paid by tax agents from income tax in the form of wages
11010200;Individual income tax on salaries, remuneration and other benefits received by military personnel, enlisted and officer corps, paid by tax agents;;;Individual income tax on salaries, remuneration and other benefits received by military personnel, enlisted and officer corps, paid by tax agents
11010300;Individual income tax revenue in the form of wages of miners;;;Individual income tax revenue in the form of wages of miners
11010400;Individual income tax paid by tax agents from the taxpayer's income other than wages;;;Individual income tax paid by tax agents from the taxpayer's income other than wages
11010500;Individual income tax paid by individuals for the results of the annual declaration;;;Individual income tax paid by individuals for the results of the annual declaration
11010600;Fixed individual income tax on business activity, accrued up to January 1, 2012;;;Fixed individual income tax on business activity, accrued up to January 1, 2012
11010700;Receipts of amounts of restructured debt from income tax paid by individuals;;;Receipts of amounts of restructured debt from income tax paid by individuals
11020000;Corporate Income Tax;;;Corporate Income Tax
11020100;Corporate Income Tax of enterprises and organizations owned by the state;;;Corporate Income Tax of enterprises and organizations owned by the state
11020200;Corporate Income Tax of enterprises and financial institutions of municipal property;;;Corporate Income Tax of enterprises and financial institutions of municipal property
11020300;Corporate Income Tax of enterprises established with participation of foreign investors;;;Corporate Income Tax of enterprises established with participation of foreign investors
11020400;Corporate Income Tax from casinos, video, gaming machines, concert and entertainment events;;;Corporate Income Tax from casinos, video, gaming machines, concert and entertainment events
11020500;Income Tax of foreign legal entities;;;Income Tax of foreign legal entities
11020600;Corporate Income Tax of banking organizations, including branches of similar organizations located on the territory of Ukraine;;;Corporate Income Tax of banking organizations, including branches of similar organizations located on the territory of Ukraine
11020700;Corporate Income Tax of insurance companies, including subsidiaries of similar organizations located on the territory of Ukraine;;;Corporate Income Tax of insurance companies, including subsidiaries of similar organizations located on the territory of Ukraine
11020900;Corporate Income Tax of consumer cooperatives, cooperatives and associations;;;Corporate Income Tax of consumer cooperatives, cooperatives and associations
11021000;Corporate Income Tax of private companies;;;Corporate Income Tax of private companies
11021100;Other taxable income;;;Other taxable income
11021300;Restructured arrears of Corporate Income Tax;;;Restructured arrears of Corporate Income Tax
11021400;Revenues from Corporate Income Tax, resulting from the implementation of innovative projects;;;Revenues from Corporate Income Tax, resulting from the implementation of innovative projects
11021500;Income tax derived from the coefficient of trigger 0;;;Income tax derived from the coefficient of trigger 0
11021600;Corporate Income Tax of financial institutions, including branches of similar organizations located on the territory of Ukraine, except insurance organizations;;;Corporate Income Tax of financial institutions, including branches of similar organizations located on the territory of Ukraine, except insurance organizations
11021900;"Tax arrears of Corporate Income Tax (excluding municipal enterprises), additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and Corporate Income Tax of its enterprises (including interest on use the tax credit), which are directed to debt payments to the difference in tariffs for thermal energy, the water supply and sanitation that are produced, transported and supplied to the population, which arose due to the mismatch of the actual cost of thermal energy, water supply services and wastewater tariffs that were approved or agreed by relevant state authorities or local governments """;;;"Tax arrears of Corporate Income Tax (excluding municipal enterprises), additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and Corporate Income Tax of its enterprises (including interest on use the tax credit), which are directed to debt payments to the difference in tariffs for thermal energy, the water supply and sanitation that are produced, transported and supplied to the population, which arose due to the mismatch of the actual cost of thermal energy, water supply services and wastewater tariffs that were approved or agreed by relevant state authorities or local governments """
11022100;"Tax arrears of Corporate Income Tax (excluding municipal enterprises), additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and Corporate Income Tax of its enterprises (including interest on use the tax credit), which are directed to subvention from the state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water and sanitation, rent, removal of household waste and liquid sewage ";;;"Tax arrears of Corporate Income Tax (excluding municipal enterprises), additional tax liability for this tax, deferred tax liabilities of NJSC ""Naftogaz of Ukraine"" and Corporate Income Tax of its enterprises (including interest on use the tax credit), which are directed to subvention from the state budget to local budgets for provision of benefits and housing subsidies for electricity, natural gas, heat, water and sanitation, rent, removal of household waste and liquid sewage "
11022200;"Receipts from the repayment of the tax debt including restructured or extended (deferred) Corporate Income Tax paid by electricity, gas, coal industries, enterprises providing services in production, transportation and supply of heat energy, enterprises of centralized water and sanitation, and accrued income tax of enterprises arising after the settlement of subventions from the state budget to local budgets under paragraph 16 of Article 14 of the Law of Ukraine ""On State Budget of Ukraine for 2015""";;;"Receipts from the repayment of the tax debt including restructured or extended (deferred) Corporate Income Tax paid by electricity, gas, coal industries, enterprises providing services in production, transportation and supply of heat energy, enterprises of centralized water and sanitation, and accrued income tax of enterprises arising after the settlement of subventions from the state budget to local budgets under paragraph 16 of Article 14 of the Law of Ukraine ""On State Budget of Ukraine for 2015"""
11023100;Advance contributions from Corporate Income Tax of enterprises and organizations owned by the state;;;Advance contributions from Corporate Income Tax of enterprises and organizations owned by the state
11023200;Advance contributions from Corporate Income Tax of enterprises and financial institutions of municipal property;;;Advance contributions from Corporate Income Tax of enterprises and financial institutions of municipal property
11023300;Advance contributions from Corporate Income Tax of enterprises created with the participation of foreign investors;;;Advance contributions from Corporate Income Tax of enterprises created with the participation of foreign investors
11023400;Advance contributions from Corporate Income Tax from the casinos, video, gaming machines, concert and entertainment events;;;Advance contributions from Corporate Income Tax from the casinos, video, gaming machines, concert and entertainment events
11023500;Advance contributions from income tax of foreign legal entities;;;Advance contributions from income tax of foreign legal entities
