Код;Коротка назва;Колір;Іконка;Детальний опис
10000000;Податкові надходження;;;Податкові надходження
11000000;Податки на доходи, податки на прибуток, податки на збільшення ринкової вартості;;;Податки на доходи, податки на прибуток, податки на збільшення ринкової вартості
11010000;Податок та збір на доходи фізичних осіб;;;Податок та збір на доходи фізичних осіб
11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;;;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати
11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;;;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами
11010300;"{Позицію 11010300 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	";;;"{Позицію 11010300 виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016}	"
11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;;;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата
11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;;;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування
11010600;Фіксований податок на доходи фізичних осіб від зайняття підприємницькою діяльністю, нарахований до 1 січня 2012 року;;;Фіксований податок на доходи фізичних осіб від зайняття підприємницькою діяльністю, нарахований до 1 січня 2012 року
11010700;Надходження сум реструктурованої заборгованості зі сплати податку на доходи фізичних осіб;;;Надходження сум реструктурованої заборгованості зі сплати податку на доходи фізичних осіб
11010800;Податок на доходи фізичних осіб із доходу у вигляді процентів;;;Податок на доходи фізичних осіб із доходу у вигляді процентів
11010900;Податок на доходи фізичних осіб від оподаткування пенсійних виплат або щомісячного довічного грошового утримання, що сплачується (перераховується) згідно з Податковим кодексом України;;;Податок на доходи фізичних осіб від оподаткування пенсійних виплат або щомісячного довічного грошового утримання, що сплачується (перераховується) згідно з Податковим кодексом України
11011000;Військовий збір;;;Військовий збір
11020000;Податок на прибуток підприємств;;;Податок на прибуток підприємств
