ID_KEY;OBL;NU;KMB
001;01;Автономна Республіка Крим;01100000000
001;02;Вінницька область;02100000000
001;03;Волинська область;03100000000
001;04;Дніпропетровська область;04100000000
001;05;Донецька область;05100000000
001;06;Житомирська область;06100000000
001;07;Закарпатська область;07100000000
001;08;Запорізька область;08100000000
001;09;Іванофранківська область;09100000000
001;10;Київська область;10100000000
001;11;Кіровоградська область;11100000000
001;12;Луганська область;12100000000
001;13;Львівська область;13100000000
001;14;Миколаївська область;14100000000
001;15;Одеська область;15100000000
001;16;Полтавська область;16100000000
001;17;Рівненська область;17100000000
001;18;Сумська область;18100000000
001;19;Тернопільська область;19100000000
001;20;Харківська область;20100000000
001;21;Херсонська область;21100000000
001;22;Хмельницька область;22100000000
001;23;Черкаська область;23100000000
001;24;Чернівецька область;24100000000
001;25;Чернігівська область;25100000000
001;26;Бюджет м. Києва;26400100000
001;27;Бюджет м.Севастополь;27400100000
002;01;Бюджет м.Сімферополя;01201100000
002;02;ВIННИЦЯ;02201100000
002;03;Бюджет м. Луцька;03201100000
002;04;Бюджет м. Дніпропетровська;04201100000
002;05;Бюджет м. Донецька;05201100000
002;06;Бюджет м.Житомира;06201100000
002;07;Бюджет м. Ужгород;07201100000
002;08;Бюджет м. Запоріжжя;08201100000
002;09;Бюджет м. івано-Франківська;09201300000
002;10;Бюджет м. Біла Церква;10202100000
002;11;Бюджет м. Кіровограда;11201100000
002;12;Бюджет м. Луганська;12201100000
002;13;Бюджет м.Львів;13201101000
002;14;Бюджет м.Миколаїва;14201100000
002;15;Бюджет м. Одеси;15201100000
002;16;ПОЛТАВА;16201100000
002;17;Бюджет м. Рівне;17201100000
002;18;Бюджет м. Суми;18201100000
002;19;Бюджет м. Тернопіль;19201100000
002;20;Бюджет м.Харкова;20201100000
002;21;Бюджет м. Херсон;21201100000
002;22;м. Хмельницький;22201100000
002;23;Бюджет м. Черкаси;23201100000
002;25;Бюджет м. Чернігів;25201100000
002;26;Бюджет Голосіївського району;26400601100
002;27;Бюджет Балаклавського р-ну;27400603100
003;01;Бюджет р-ну Залізничий;01201601000
003;02;ЗАМОСТЯНСЬКИЙ;02201601000
003;03;Бюджет м. Володимир-Волинського;03202100000
003;04;Бюджет Амур-Нижньодніпровського району;04201601000
003;05;Бюджет Будьонівського р-ну;05201601000
003;06;Бюджет Богунського району;06201601000
003;07;Бюджет м. Мукачева;07203100000
003;09;Бюджет с. Вовчинець;09201501000
003;10;Бюджет м. Березань;10201100000
003;11;Бюджет Кіровського району м. Кіровограда;11201601000
003;12;Бюджет Артемівського району;12201601000
003;13;Бюджет Залізничний р-н;13201103000
003;16;КИЕВСКИЙ;16201601000
003;17;Бюджет м. Дубно;17202100000
003;19;Бюджет Бережанського р-ну;19301200000
003;20;Бюджет Дзержинського району;20201601000
003;21;Бюджет Дніпровського району у м. Херсоні;21201601000
