kekv;ktfk;amount1;amount2;;
1;10116;361439000;2000000;;
1;70101;;66085000;;
1;70101;;2000000;;
1;70807;1200000;;;
1;90412;14950000;;;
1;100102;;5000000;;
1;100102;;75000000;;
1;100102;;5000000;;
1;100203;860000000;;;
1;100203;;2500000;;
1;100203;;8000000;;
1;100203;;4516800;;
1;100203;47630000;;;
1;110104;45318600;;;
1;110104;;3000000;;
1;110104;;1500000;;
1;150101;;8000000;;
1;150101;;5000000;;
1;150101;;20000000;;
1;150101;;100000000;;
1;150101;;8000000;;
1;150101;;3000000;;
1;170703;40000000;164545600;;
1;230000;10000000;;;
1;240600;10000000;8100000;;
1;240900;;15000000;;
1;250102;6000000;;;
1;250404;;3000000;;
1;250404;;5000000;;
1;250404;;11900000;;
1;250404;;1000000;;
1;70101;;6951209;;
1;9412;6050000;;;
1;110104;30000000;;;
1;150101;;40000000;;
1;150101;;57094298;;
1;240900;;27911200;;
1;250404;31100000;;;
1;250404;33260000;;;
1;250404;19510000;;;
1;250404;10000000;;;
1;250404;3500000;;;
1;250404;13230000;;;
1;250404;5000000;;;
1;250404;6700000;;;
1;250404;20000000;;;
1;250404;5000000;;;
1;70101;522096700;;;
1;70201;78825000;;;
1;402202;42400000;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
