DATA;KOD;KODROZ;KVK;KRK;KTFK;KEKV;KKD;KKF;KKFN;KKF;SUMM;NOTE
19.05.2015;4;R4;;;0;0;11010100;0;1;0;15506700;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;16510000;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;17768100;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;18509100;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;19278600;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;21306200;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;19492500;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;19614500;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;18455200;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;18501800;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;18013100;
19.05.2015;4;R4;;;0;0;11010100;0;1;0;19858200;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;1822200;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2175800;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2449700;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2522200;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2575800;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2549700;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2522200;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2512800;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2549700;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2522200;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2552500;
19.05.2015;4;R4;;;0;0;11010200;0;1;0;2549700;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;392900;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;140600;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;286000;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;392900;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;249100;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;286000;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;392900;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;340600;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;386000;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;392900;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;240600;
19.05.2015;4;R4;;;0;0;11010400;0;1;0;286000;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;393600;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;321800;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;390900;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;1393600;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;1108900;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;390900;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;393600;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;321800;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;390900;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;393600;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;321800;
19.05.2015;4;R4;;;0;0;11010500;0;1;0;390900;
19.05.2015;4;R4;;;0;0;11010900;0;1;0;23600;
19.05.2015;4;R4;;;0;0;11010900;0;1;0;23600;
19.05.2015;4;R4;;;0;0;11010900;0;1;0;23600;
19.05.2015;4;R4;;;0;0;11010900;0;1;0;23600;
