DATA;KOD;KODROZ;KVK;KRK;KTFK;KEKV;KKD;KKF;KKFN;MONTH;SUMM;NOTE
01.01.2015;1;M2;10;23946;240900;2240;0;0;7;0;12381658;
01.01.2015;111;M2;10;23946;240900;5000;0;0;7;2;568300;
01.01.2015;1;M4;10;23946;240900;2240;0;0;7;0;1568300;
01.01.2015;1;M5;10;23946;240900;2240;0;0;7;0;1199700;
01.01.2015;1;M6;10;23946;240900;2240;0;0;7;0;27804800;
01.01.2015;111;M4;10;23946;240900;5000;0;0;7;4;300;
01.01.2015;111;M5;10;23946;240900;5000;0;0;7;5;1199700;
01.01.2015;111;M6;10;23946;240900;5000;0;0;7;6;27804800;
01.01.2015;1;M6;10;23946;240900;2240;0;0;7;0;300;
01.01.2015;1;M7;10;23946;240900;2240;0;0;7;0;12100000;
01.01.2015;1;M8;10;23946;240900;2240;0;0;7;0;2700000;
01.01.2015;1;M9;10;23946;240900;2240;0;0;7;0;2700000;
01.01.2015;1;M10;10;23946;240900;2240;0;0;7;0;2700000;
01.01.2015;1;M11;10;23946;240900;2240;0;0;7;0;2700000;
01.01.2015;1;M12;10;23946;240900;2240;0;0;7;0;4018500;
01.01.2015;111;M6;10;23946;240900;5000;0;0;7;6;481500;
01.01.2015;111;M7;10;23946;240900;5000;0;0;7;7;12100000;
01.01.2015;111;M8;10;23946;240900;5000;0;0;7;8;2700000;
01.01.2015;111;M9;10;23946;240900;5000;0;0;7;9;2700000;
01.01.2015;111;M10;10;23946;240900;5000;0;0;7;10;2700000;
01.01.2015;111;M11;10;23946;240900;5000;0;0;7;11;2700000;
01.01.2015;111;M12;10;23946;240900;5000;0;0;7;12;4018500;
01.01.2015;1;M2;14;28794;240900;2240;0;0;7;0;481500;
01.01.2015;111;M2;14;28794;240900;5000;0;0;7;2;262200;
01.01.2015;1;M6;14;28794;240900;2240;0;0;7;0;262200;
01.01.2015;1;M7;14;28794;240900;2240;0;0;7;0;1050000;
01.01.2015;1;M8;14;28794;240900;2240;0;0;7;0;1300000;
01.01.2015;1;M10;14;28794;240900;2240;0;0;7;0;550000;
01.01.2015;1;M11;14;28794;240900;2240;0;0;7;0;1650000;
01.01.2015;111;M6;14;28794;240900;5000;0;0;7;6;1050000;
01.01.2015;111;M7;14;28794;240900;5000;0;0;7;7;1050000;
01.01.2015;111;M8;14;28794;240900;5000;0;0;7;8;1300000;
01.01.2015;111;M10;14;28794;240900;5000;0;0;7;10;550000;
01.01.2015;111;M11;14;28794;240900;5000;0;0;7;11;1650000;
01.01.2015;1;M1;03;28545;240900;2240;0;0;7;0;1050000;
01.01.2015;1;M2;03;28545;240900;2240;0;0;7;0;1701800;
01.01.2015;1;M3;03;28545;240900;2240;0;0;7;0;20000000;
01.01.2015;1;M4;03;28545;240900;2240;0;0;7;0;10000000;
01.01.2015;1;M5;03;28545;240900;2240;0;0;7;0;10000000;
01.01.2015;1;M6;03;28545;240900;2240;0;0;7;0;20000000;
01.01.2015;1;M10;03;28545;240900;2240;0;0;7;0;20000000;
01.01.2015;1;M11;03;28545;240900;2240;0;0;7;0;30000000;
01.01.2015;1;M12;03;28545;240900;2240;0;0;7;0;40000000;
01.01.2015;111;M1;03;28545;240900;5000;0;0;7;1;44297800;
01.01.2015;111;M2;03;28545;240900;5000;0;0;7;2;1701800;
01.01.2015;111;M3;03;28545;240900;5000;0;0;7;3;20000000;
01.01.2015;111;M4;03;28545;240900;5000;0;0;7;4;10000000;
01.01.2015;111;M5;03;28545;240900;5000;0;0;7;5;10000000;
01.01.2015;111;M6;03;28545;240900;5000;0;0;7;6;20000000;
01.01.2015;111;M10;03;28545;240900;5000;0;0;7;10;20000000;
01.01.2015;111;M11;03;28545;240900;5000;0;0;7;11;30000000;
01.01.2015;111;M12;03;28545;240900;5000;0;0;7;12;40000000;
01.01.2015;1;M2;65;28349;240900;2240;0;0;7;0;44297800;
01.01.2015;1;M3;65;28349;240900;2240;0;0;7;0;2000000;
01.01.2015;1;M4;65;28349;240900;2240;0;0;7;0;2000000;
01.01.2015;1;M6;65;28349;240900;2240;0;0;7;0;2000000;
01.01.2015;1;M12;65;28349;240900;2240;0;0;7;0;2000000;
01.01.2015;111;M2;65;28349;240900;5000;0;0;7;2;2859400;
01.01.2015;111;M3;65;28349;240900;5000;0;0;7;3;2000000;
01.01.2015;111;M4;65;28349;240900;5000;0;0;7;4;2000000;
01.01.2015;111;M6;65;28349;240900;5000;0;0;7;6;2000000;
01.01.2015;111;M12;65;28349;240900;5000;0;0;7;12;2000000;
01.01.2015;1;M5;13;28181;240900;2240;0;0;7;0;2859400;
01.01.2015;1;M11;13;28181;240900;2240;0;0;7;0;1000000;
01.01.2015;111;M5;13;28181;240900;5000;0;0;7;5;1031500;
01.01.2015;111;M11;13;28181;240900;5000;0;0;7;11;1000000;
01.01.2015;1;M2;24;28703;240900;2240;0;0;7;0;1031500;
01.01.2015;1;M3;24;28703;240900;2240;0;0;7;0;1000000;
01.01.2015;1;M4;24;28703;240900;2240;0;0;7;0;1467000;
01.01.2015;1;M5;24;28703;240900;2240;0;0;7;0;1950000;
01.01.2015;1;M6;24;28703;240900;2240;0;0;7;0;1933000;
01.01.2015;1;M7;24;28703;240900;2240;0;0;7;0;300000;
01.01.2015;1;M9;24;28703;240900;2240;0;0;7;0;1000000;
01.01.2015;1;M10;24;28703;240900;2240;0;0;7;0;2150000;
01.01.2015;111;M2;24;28703;240900;5000;0;0;7;2;200000;
01.01.2015;111;M3;24;28703;240900;5000;0;0;7;3;1000000;
01.01.2015;111;M4;24;28703;240900;5000;0;0;7;4;1467000;
01.01.2015;111;M5;24;28703;240900;5000;0;0;7;5;1950000;
01.01.2015;111;M6;24;28703;240900;5000;0;0;7;6;1933000;
01.01.2015;111;M7;24;28703;240900;5000;0;0;7;7;300000;
01.01.2015;111;M9;24;28703;240900;5000;0;0;7;9;1000000;
01.01.2015;111;M10;24;28703;240900;5000;0;0;7;10;2150000;
01.01.2015;1;M6;40;28733;240900;2240;0;0;7;0;200000;
01.01.2015;1;M7;40;28733;240900;2240;0;0;7;0;10000000;
01.01.2015;1;M8;40;28733;240900;2240;0;0;7;0;2000000;
01.01.2015;1;M9;40;28733;240900;2240;0;0;7;0;2000000;
01.01.2015;1;M10;40;28733;240900;2240;0;0;7;0;2000000;
01.01.2015;1;M11;40;28733;240900;2240;0;0;7;0;2000000;
01.01.2015;1;M12;40;28733;240900;2240;0;0;7;0;2000000;
01.01.2015;111;M6;40;28733;240900;5000;0;0;7;6;4510000;
01.01.2015;111;M7;40;28733;240900;5000;0;0;7;7;10000000;
01.01.2015;111;M8;40;28733;240900;5000;0;0;7;8;2000000;
01.01.2015;111;M9;40;28733;240900;5000;0;0;7;9;2000000;
01.01.2015;111;M10;40;28733;240900;5000;0;0;7;10;2000000;
01.01.2015;111;M11;40;28733;240900;5000;0;0;7;11;2000000;
01.01.2015;111;M12;40;28733;240900;5000;0;0;7;12;2000000;
01.01.2015;1;M5;40;28733;240900;2240;0;0;7;0;4510000;
01.01.2015;111;M5;40;28733;240900;5000;0;0;7;5;28654000;
01.01.2015;1;M12;41;28667;250404;2240;0;0;1;0;28654000;
01.01.2015;11;M12;41;28667;250404;5000;0;0;1;12;3000000;
01.01.2015;1;M12;48;78596;150201;2240;0;0;1;0;3000000;
01.01.2015;11;M12;48;78596;150201;5000;0;0;1;12;2000000;
01.01.2015;1;M3;48;78596;250404;2240;0;0;1;0;2000000;
01.01.2015;11;M3;48;78596;250404;5000;0;0;1;3;1720000;
01.01.2015;1;M12;48;78596;250404;2240;0;0;1;0;1720000;
01.01.2015;11;M12;48;78596;250404;5000;0;0;1;12;9900000;
01.01.2015;1;M1;48;78596;10116;2240;0;0;1;0;9900000;
01.01.2015;1;M2;48;78596;10116;2240;0;0;1;0;80000;
01.01.2015;1;M3;48;78596;10116;2240;0;0;1;0;95800;
01.01.2015;1;M4;48;78596;10116;2240;0;0;1;0;409100;
01.01.2015;1;M5;48;78596;10116;2240;0;0;1;0;2041400;
01.01.2015;1;M6;48;78596;10116;2240;0;0;1;0;293300;
01.01.2015;1;M7;48;78596;10116;2240;0;0;1;0;175400;
01.01.2015;1;M8;48;78596;10116;2240;0;0;1;0;370000;
01.01.2015;1;M9;48;78596;10116;2240;0;0;1;0;250000;
01.01.2015;1;M10;48;78596;10116;2240;0;0;1;0;380000;
01.01.2015;1;M11;48;78596;10116;2240;0;0;1;0;170000;
01.01.2015;1;M12;48;78596;10116;2240;0;0;1;0;170000;
01.01.2015;11;M1;48;78596;10116;5000;0;0;1;1;1742500;
01.01.2015;11;M2;48;78596;10116;5000;0;0;1;2;80000;
01.01.2015;11;M3;48;78596;10116;5000;0;0;1;3;95800;
01.01.2015;11;M4;48;78596;10116;5000;0;0;1;4;409100;
01.01.2015;11;M5;48;78596;10116;5000;0;0;1;5;2041400;
01.01.2015;11;M6;48;78596;10116;5000;0;0;1;6;293300;
01.01.2015;11;M7;48;78596;10116;5000;0;0;1;7;175400;
01.01.2015;11;M8;48;78596;10116;5000;0;0;1;8;370000;
01.01.2015;11;M9;48;78596;10116;5000;0;0;1;9;250000;
01.01.2015;11;M10;48;78596;10116;5000;0;0;1;10;380000;
01.01.2015;11;M11;48;78596;10116;5000;0;0;1;11;170000;
01.01.2015;11;M12;48;78596;10116;5000;0;0;1;12;170000;
01.01.2015;1;M1;45;78602;10116;2240;0;0;1;0;1742500;
01.01.2015;1;M2;45;78602;10116;2240;0;0;1;0;400000;
01.01.2015;1;M3;45;78602;10116;2240;0;0;1;0;6500;
01.01.2015;1;M4;45;78602;10116;2240;0;0;1;0;330400;
01.01.2015;1;M5;45;78602;10116;2240;0;0;1;0;2757200;
01.01.2015;1;M6;45;78602;10116;2240;0;0;1;0;65300;
01.01.2015;1;M7;45;78602;10116;2240;0;0;1;0;1014000;
01.01.2015;1;M8;45;78602;10116;2240;0;0;1;0;410000;
01.01.2015;11;M1;45;78602;10116;5000;0;0;1;1;26600;
01.01.2015;11;M2;45;78602;10116;5000;0;0;1;2;400000;
01.01.2015;11;M3;45;78602;10116;5000;0;0;1;3;6500;
01.01.2015;11;M4;45;78602;10116;5000;0;0;1;4;330400;
01.01.2015;11;M5;45;78602;10116;5000;0;0;1;5;2757200;
01.01.2015;11;M6;45;78602;10116;5000;0;0;1;6;65300;
01.01.2015;11;M7;45;78602;10116;5000;0;0;1;7;1014000;
01.01.2015;11;M8;45;78602;10116;5000;0;0;1;8;410000;
01.01.2015;1;M2;41;28667;100203;2240;0;0;1;0;26600;
01.01.2015;1;M3;41;28667;100203;2240;0;0;1;0;9920000;
01.01.2015;1;M4;41;28667;100203;2240;0;0;1;0;9920000;
01.01.2015;1;M5;41;28667;100203;2240;0;0;1;0;9920000;
01.01.2015;1;M6;41;28667;100203;2240;0;0;1;0;9920000;
01.01.2015;1;M7;41;28667;100203;2240;0;0;1;0;9920000;
