DATA;KOD;KODROZ;KVK;KRK;KTFK;KEKV;KKD;KKF;KKFN;MONTH;SUMM;NOTE
01.01.2013;2;M5;0;0;0;0;24030000;0;1;0;12515800;
01.01.2013;2;M6;0;0;0;0;24030000;0;1;0;3009600;
01.01.2013;2;M12;0;0;0;0;24030000;0;1;0;2068100;
01.01.2013;12;M5;0;0;0;0;24030000;0;1;5;1664000;
01.01.2013;12;M6;0;0;0;0;24030000;0;1;6;3285400;
01.01.2013;12;M12;0;0;0;0;24030000;0;1;12;2353100;
01.01.2013;2;M1;0;0;0;0;22090400;0;1;0;2963300;
01.01.2013;2;M2;0;0;0;0;22090400;0;1;0;4310000;
01.01.2013;2;M3;0;0;0;0;22090400;0;1;0;4590700;
01.01.2013;2;M4;0;0;0;0;22090400;0;1;0;5500000;
01.01.2013;2;M5;0;0;0;0;22090400;0;1;0;6800000;
01.01.2013;2;M6;0;0;0;0;22090400;0;1;0;7500000;
01.01.2013;2;M7;0;0;0;0;22090400;0;1;0;12515800;
01.01.2013;2;M8;0;0;0;0;22090400;0;1;0;19499200;
01.01.2013;2;M9;0;0;0;0;22090400;0;1;0;18996100;
01.01.2013;2;M10;0;0;0;0;22090400;0;1;0;17190300;
01.01.2013;2;M11;0;0;0;0;22090400;0;1;0;19065500;
01.01.2013;2;M12;0;0;0;0;22090400;0;1;0;18995100;
01.01.2013;12;M1;0;0;0;0;22090400;0;1;1;16877100;
01.01.2013;12;M2;0;0;0;0;22100000;0;1;2;20778500;
01.01.2013;12;M3;0;0;0;0;22100000;0;1;3;25227300;
01.01.2013;12;M4;0;0;0;0;22100000;0;1;4;23512500;
01.01.2013;12;M5;0;0;0;0;22100000;0;1;5;24000000;
01.01.2013;12;M6;0;0;0;0;22090400;0;1;6;24000000;
01.01.2013;12;M7;0;0;0;0;22090400;0;1;7;51858400;
01.01.2013;12;M8;0;0;0;0;22090400;0;1;8;19499200;
01.01.2013;12;M9;0;0;0;0;22090400;0;1;9;18996100;
01.01.2013;12;M10;0;0;0;0;22090400;0;1;10;17190300;
01.01.2013;12;M11;0;0;0;0;22090400;0;1;11;19065500;
01.01.2013;12;M12;0;0;0;0;22090400;0;1;12;18995100;
01.01.2013;2;M1;0;0;0;0;22090100;0;1;0;16877100;
01.01.2013;2;M2;0;0;0;0;22090100;0;1;0;20778500;
01.01.2013;2;M3;0;0;0;0;22090100;0;1;0;25227300;
01.01.2013;2;M4;0;0;0;0;22090100;0;1;0;23512500;
01.01.2013;2;M5;0;0;0;0;22090100;0;1;0;24000000;
01.01.2013;2;M6;0;0;0;0;22090100;0;1;0;24000000;
01.01.2013;2;M7;0;0;0;0;22090100;0;1;0;51858400;
01.01.2013;2;M8;0;0;0;0;22090100;0;1;0;740200;
01.01.2013;2;M9;0;0;0;0;22090100;0;1;0;805300;
01.01.2013;2;M10;0;0;0;0;22090100;0;1;0;1034100;
01.01.2013;2;M11;0;0;0;0;22090100;0;1;0;1354900;
01.01.2013;2;M12;0;0;0;0;22090100;0;1;0;1341300;
01.01.2013;12;M1;0;0;0;0;22090100;0;1;1;2327800;
01.01.2013;12;M2;0;0;0;0;22090100;0;1;2;1700000;
01.01.2013;12;M3;0;0;0;0;22090100;0;1;3;589200;
01.01.2013;12;M4;0;0;0;0;22090100;0;1;4;1600000;
01.01.2013;12;M5;0;0;0;0;22090100;0;1;5;1800000;
01.01.2013;12;M6;0;0;0;0;22090100;0;1;6;3300000;
01.01.2013;12;M7;0;0;0;0;22090100;0;1;7;4407200;
01.01.2013;12;M8;0;0;0;0;22090100;0;1;8;740200;
01.01.2013;12;M9;0;0;0;0;22090100;0;1;9;805300;
01.01.2013;12;M10;0;0;0;0;22090100;0;1;10;1034100;
01.01.2013;12;M11;0;0;0;0;22090100;0;1;11;1354900;
01.01.2013;12;M12;0;0;0;0;22090100;0;1;12;1341300;
01.01.2013;2;M1;0;0;0;0;22080400;0;1;0;2327800;
01.01.2013;2;M2;0;0;0;0;22080400;0;1;0;1700000;
01.01.2013;2;M3;0;0;0;0;22080400;0;1;0;589200;
01.01.2013;2;M4;0;0;0;0;22080400;0;1;0;1600000;
01.01.2013;2;M5;0;0;0;0;22080400;0;1;0;1800000;
01.01.2013;2;M6;0;0;0;0;22080400;0;1;0;3300000;
01.01.2013;2;M7;0;0;0;0;22080400;0;1;0;4407200;
01.01.2013;2;M8;0;0;0;0;22080400;0;1;0;45900;
01.01.2013;2;M9;0;0;0;0;22080400;0;1;0;204000;
01.01.2013;2;M10;0;0;0;0;22080400;0;1;0;400;
01.01.2013;2;M11;0;0;0;0;22080400;0;1;0;48700;
01.01.2013;2;M12;0;0;0;0;22080400;0;1;0;505400;
01.01.2013;12;M1;0;0;0;0;22080400;0;1;1;300000;
01.01.2013;12;M2;0;0;0;0;22080400;0;1;2;300000;
01.01.2013;12;M3;0;0;0;0;22080400;0;1;3;300000;
01.01.2013;12;M4;0;0;0;0;22080400;0;1;4;1095600;
01.01.2013;12;M5;0;0;0;0;22080400;0;1;5;45900;
01.01.2013;12;M6;0;0;0;0;22080400;0;1;6;204000;
01.01.2013;12;M7;0;0;0;0;22080400;0;1;7;400;
01.01.2013;12;M8;0;0;0;0;22080400;0;1;8;48700;
01.01.2013;12;M9;0;0;0;0;22080400;0;1;9;505400;
01.01.2013;12;M10;0;0;0;0;22080400;0;1;10;300000;
01.01.2013;12;M11;0;0;0;0;22080400;0;1;11;300000;
01.01.2013;12;M12;0;0;0;0;22080400;0;1;12;300000;
01.01.2013;2;M1;0;0;0;0;21081100;0;1;0;1095600;
01.01.2013;2;M2;0;0;0;0;21081100;0;1;0;94000;
01.01.2013;2;M3;0;0;0;0;21081100;0;1;0;1892300;
01.01.2013;2;M4;0;0;0;0;21081100;0;1;0;1594900;
01.01.2013;2;M5;0;0;0;0;21081100;0;1;0;2045800;
01.01.2013;2;M6;0;0;0;0;21081100;0;1;0;1673000;
01.01.2013;2;M7;0;0;0;0;21081100;0;1;0;94000;
01.01.2013;2;M8;0;0;0;0;21081100;0;1;0;1892300;
01.01.2013;2;M9;0;0;0;0;21081100;0;1;0;1594900;
01.01.2013;2;M10;0;0;0;0;21081100;0;1;0;2045800;
01.01.2013;2;M11;0;0;0;0;21081100;0;1;0;1673000;
01.01.2013;2;M12;0;0;0;0;21081100;0;1;0;20000000;
01.01.2013;12;M1;0;0;0;0;21081100;0;1;1;10000000;
01.01.2013;12;M2;0;0;0;0;21081100;0;1;2;10000000;
01.01.2013;12;M3;0;0;0;0;21081100;0;1;3;10000000;
01.01.2013;12;M4;0;0;0;0;21081100;0;1;4;40000000;
01.01.2013;12;M5;0;0;0;0;21081100;0;1;5;20000000;
01.01.2013;12;M6;0;0;0;0;21081100;0;1;6;10000000;
01.01.2013;12;M7;0;0;0;0;21081100;0;1;7;10000000;
01.01.2013;12;M8;0;0;0;0;21081100;0;1;8;10000000;
01.01.2013;12;M9;0;0;0;0;21081100;0;1;9;40000000;
01.01.2013;12;M10;0;0;0;0;21081100;0;1;10;1301800;
01.01.2013;12;M11;0;0;0;0;21081100;0;1;11;6533700;
01.01.2013;12;M12;0;0;0;0;21081100;0;1;12;110000;
01.01.2013;2;M1;0;0;0;0;21080900;0;1;0;613800;
01.01.2013;2;M3;0;0;0;0;21080900;0;1;0;5976200;
01.01.2013;2;M4;0;0;0;0;21080900;0;1;0;200000;
01.01.2013;2;M7;0;0;0;0;21080900;0;1;0;500000;
01.01.2013;2;M8;0;0;0;0;21080900;0;1;0;4098200;
01.01.2013;2;M9;0;0;0;0;21080900;0;1;0;20666300;
01.01.2013;2;M10;0;0;0;0;21080900;0;1;0;1301800;
01.01.2013;2;M11;0;0;0;0;21080900;0;1;0;6533700;
01.01.2013;2;M12;0;0;0;0;21080900;0;1;0;110000;
01.01.2013;12;M1;0;0;0;0;21080900;0;1;1;613800;
01.01.2013;12;M3;0;0;0;0;21080900;0;1;3;5976200;
01.01.2013;12;M4;0;0;0;0;21080900;0;1;4;200000;
01.01.2013;12;M7;0;0;0;0;21080900;0;1;7;500000;
01.01.2013;12;M8;0;0;0;0;21080900;0;1;8;4098200;
01.01.2013;12;M9;0;0;0;0;21080900;0;1;9;20666300;
01.01.2013;12;M10;0;0;0;0;21080900;0;1;10;113600;
01.01.2013;12;M11;0;0;0;0;21080900;0;1;11;2114600;
01.01.2013;12;M12;0;0;0;0;21080900;0;1;12;1096200;
01.01.2013;2;M1;0;0;0;0;21080500;0;1;0;1875400;
01.01.2013;2;M2;0;0;0;0;21080500;0;1;0;2559200;
01.01.2013;2;M3;0;0;0;0;21080500;0;1;0;113600;
01.01.2013;2;M4;0;0;0;0;21080500;0;1;0;2114600;
01.01.2013;2;M5;0;0;0;0;21080500;0;1;0;1096200;
01.01.2013;12;M1;0;0;0;0;21080500;0;1;1;1875400;
01.01.2013;12;M2;0;0;0;0;21080500;0;1;2;2559200;
01.01.2013;12;M3;0;0;0;0;21080500;0;1;3;2235600;
01.01.2013;12;M4;0;0;0;0;21080500;0;1;4;1955000;
01.01.2013;12;M5;0;0;0;0;21080500;0;1;5;2050000;
01.01.2013;2;M8;0;0;0;0;21050000;0;1;0;2027500;
01.01.2013;2;M9;0;0;0;0;21050000;0;1;0;1704200;
01.01.2013;2;M10;0;0;0;0;21050000;0;1;0;1720000;
01.01.2013;2;M11;0;0;0;0;21050000;0;1;0;1680000;
01.01.2013;2;M12;0;0;0;0;21050000;0;1;0;2234900;
01.01.2013;12;M8;0;0;0;0;21050000;0;1;8;1957000;
01.01.2013;12;M9;0;0;0;0;21050000;0;1;9;2150000;
01.01.2013;12;M10;0;0;0;0;21050000;0;1;10;1950000;
01.01.2013;12;M11;0;0;0;0;21050000;0;1;11;1535800;
01.01.2013;12;M12;0;0;0;0;21050000;0;1;12;2235600;
01.01.2013;2;M1;0;0;0;0;21010300;0;1;0;1955000;
01.01.2013;2;M2;0;0;0;0;21010300;0;1;0;2050000;
01.01.2013;2;M6;0;0;0;0;21010300;0;1;0;2027500;
01.01.2013;2;M7;0;0;0;0;21010300;0;1;0;1704200;
01.01.2013;2;M8;0;0;0;0;21010300;0;1;0;1720000;
01.01.2013;2;M9;0;0;0;0;21010300;0;1;0;1680000;
01.01.2013;2;M10;0;0;0;0;21010300;0;1;0;2234900;
01.01.2013;2;M11;0;0;0;0;21010300;0;1;0;1957000;
01.01.2013;2;M12;0;0;0;0;21010300;0;1;0;2150000;
01.01.2013;12;M1;0;0;0;0;21010300;0;1;1;1950000;
01.01.2013;12;M2;0;0;0;0;21010300;0;1;2;1535800;
01.01.2013;12;M6;0;0;0;0;21010300;0;1;6;48800;
01.01.2013;12;M7;0;0;0;0;21010300;0;1;7;360000;
01.01.2013;12;M8;0;0;0;0;21010300;0;1;8;49000;
01.01.2013;12;M9;0;0;0;0;21010300;0;1;9;100000;
01.01.2013;12;M10;0;0;0;0;21010300;0;1;10;48500;
01.01.2013;12;M11;0;0;0;0;21010300;0;1;11;48500;
01.01.2013;12;M12;0;0;0;0;21010300;0;1;12;48500;
01.01.2013;2;M1;0;0;0;0;18041800;0;1;0;48500;
01.01.2013;2;M3;0;0;0;0;18041800;0;1;0;48500;
01.01.2013;2;M6;0;0;0;0;18041800;0;1;0;48500;
01.01.2013;2;M9;0;0;0;0;18041800;0;1;0;51200;
01.01.2013;2;M12;0;0;0;0;18041800;0;1;0;48800;
