Funktion;Summ
101160;20000000
101160;10250000
1804090;50000000
2504040;100000000
101160;487850000
1804090;600000000
101160;2160000
101160;2160000
101160;2700000
101160;4200000
101160;9360000
101160;1420000
101160;2160000
1001020;90000000
1002030;187500000
1101020;17391100
1501010;98994000
1502010;1305721300
1804090;32000000
101160;3600000
101160;9500000
1804090;10000000
2504040;30000000
101160;9500000
1804090;541959000
101160;8058600
1502020;370000000
101160;24480000
1601010;5520000
2505000;70000000
101160;12500000
1001020;1115990000
1001050;200000000
1001060;230140000
1002030;1070000000
1502010;103170000
1502020;49313000
1706030;2670000000
1707030;2596668400
1804090;23934815500
2101050;5000000
2504040;135015700
101160;30536800
1501010;2009026600
1501100;44723300
1501120;2252400
1502010;223063000
1707030;843223500
101160;5000000
702010;95000000
911010;20000000
911050;102920000
1301070;4600000
1302050;15200000
1501010;6875681600
101160;5000000
701010;1595921600
702010;3902797700
703010;178887000
704010;77936000
1501010;957647900
1501100;1411387700
1501110;118458300
1501120;45400000
1801070;150000000
101160;2160000
801010;502432300
802030;29525000
803000;359537800
810020;1350000000
1501140;178625800
101160;7200000
1102010;216568100
1102020;60100000
1102040;82896900
1102050;75000000
1501010;20000000
1502010;129500000
1501120;20000000
1804090;100000000
101160;36332700
912040;67647300
912140;29343000
101160;2000000
703030;9075000
101160;10000000
1804090;199000000
101160;4080000
1804090;37250000
1001020;93381200
1002030;581900000
1501010;99000000
1707030;590100000
1804090;48000000
1001020;50000000
1002030;325000000
1707030;500000000
1804090;48000000
101160;7900000
1001020;450000000
1002030;323000000
1707030;460000000
1804090;48000000
101160;20000000
1001020;200000000
1002030;325000000
1707030;450000000
1804090;48000000
101160;49721400
1001020;301003200
1002030;601100000
1707030;525099200
1804090;48000000
101160;3000000
1001020;58052500
1002030;385000000
1707030;517000000
1804090;48000000
